14-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
14-02-2011,State Hydro,,,5156,1780,1066,31.3,1304
14-02-2011,Regional Hydro,,,13597,7829,2587,104.6,4356
14-02-2011,,,,,,,,
15-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
15-02-2011,State Hydro,,,5156,1671,1042,31.5,1313
15-02-2011,Regional Hydro,,,13597,7595,2574,106.0,4418
15-02-2011,,,,,,,,
16-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
16-02-2011,State Hydro,,,5156,1730,1285,37.2,1550
16-02-2011,Regional Hydro,,,13597,7664,2600,108.6,4525
16-02-2011,,,,,,,,
17-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
17-02-2011,State Hydro,,,5156,1429,1121,35.4,1473
17-02-2011,Regional Hydro,,,13597,7766,2707,108.1,4504
17-02-2011,,,,,,,,
18-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
18-02-2011,State Hydro,,,5156,1645,1260,38.5,1603
18-02-2011,Regional Hydro,,,13597,7564,2901,110.5,4603
18-02-2011,,,,,,,,
19-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
19-02-2011,State Hydro,,,5156,1625,1186,35.2,1467
19-02-2011,Regional Hydro,,,13597,7419,2924,102.9,4287
19-02-2011,,,,,,,,
20-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
20-02-2011,State Hydro,,,5156,2323,1164,44.1,1839
20-02-2011,Regional Hydro,,,13597,8107,2584,110.5,4604
20-02-2011,,,,,,,,
21-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
21-02-2011,State Hydro,,,5156,1975,1288,37.2,1550
21-02-2011,Regional Hydro,,,13597,7234,2446,99.6,4149
21-02-2011,,,,,,,,
22-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
22-02-2011,State Hydro,,,5156,1877,959,38.4,1598
22-02-2011,Regional Hydro,,,13597,7419,2345,103.6,4318
22-02-2011,,,,,,,,
23-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
23-02-2011,State Hydro,,,5156,1640,1011,32.3,1345
23-02-2011,Regional Hydro,,,13597,7461,2135,95.5,3977
23-02-2011,,,,,,,,
24-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
24-02-2011,State Hydro,,,5156,1702,1034,32.0,1333
24-02-2011,Regional Hydro,,,13597,7752,2041,98.5,4104
24-02-2011,,,,,,,,
25-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
25-02-2011,State Hydro,,,5156,1662,906,30.4,1327
25-02-2011,Regional Hydro,,,13597,7588,1956,95.7,4049
25-02-2011,,,,,,,,
26-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
26-02-2011,State Hydro,,,5156,1485,994,31.1,1335
26-02-2011,Regional Hydro,,,13597,7816,2308,101.4,4261
26-02-2011,,,,,,,,
27-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
27-02-2011,State Hydro,,,5156,1598,1098,31.3,1465
27-02-2011,Regional Hydro,,,13597,8012,2245,98.6,4268
27-02-2011,,,,,,,,
28-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
28-02-2011,State Hydro,,,5156,1524,1453,33.2,1631
28-02-2011,Regional Hydro,,,13597,7886,2487,101.4,4472
28-02-2011,,,,,,,,
01-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
01-03-2011,State Hydro,,,5156,2253,1412,29.0,1456
01-03-2011,Regional Hydro,,,13597,8198,2426,99.2,4380
01-03-2011,,,,,,,,
02-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
02-03-2011,State Hydro,,,5156,1798,1150,30.0,1354
02-03-2011,Regional Hydro,,,13597,7492,2196,100.0,4269
02-03-2011,,,,,,,,
03-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
03-03-2011,State Hydro,,,5156,1916,984,34.1,1529
03-03-2011,Regional Hydro,,,13597,7582,2491,109.7,4680
03-03-2011,,,,,,,,
04-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
04-03-2011,State Hydro,,,5156,1713,1281,29.0,1433
04-03-2011,Regional Hydro,,,13597,8239,2942,116.7,5086
04-03-2011,,,,,,,,
05-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
05-03-2011,State Hydro,,,5156,1756,1398,33.5,1629
05-03-2011,Regional Hydro,,,13597,8152,3597,123.7,5389
05-03-2011,,,,,,,,
06-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
06-03-2011,Central +BBMB Hydro,,,8441,6453,1863,80.1,3336
06-03-2011,State Hydro,,,5156,1683,1597,34.5,1747
06-03-2011,Regional Hydro,,,13597,8136,3460,114.6,5083
07-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
07-03-2011,Central +BBMB Hydro,,,8441,6113,1595,80.1,3339
07-03-2011,State Hydro,,,5156,1704,1481,35.3,1694
07-03-2011,Regional Hydro,,,13597,7817,3076,115.5,5033
08-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
08-03-2011,Central +BBMB Hydro,,,8441,6239,1489,79.7,3323
08-03-2011,State Hydro,,,5156,1773,1329,35.2,1621
08-03-2011,Regional Hydro,,,13597,8012,2818,115.0,4943
09-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
09-03-2011,Central +BBMB Hydro,,,8441,6293,1624,80.2,3341
09-03-2011,State Hydro,,,5156,1734,1343,36.5,1655
09-03-2011,Regional Hydro,,,13597,8027,2967,116.7,4996
10-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
10-03-2011,Central +BBMB Hydro,,,8441,5684.2,1646.7,78.8,3281
10-03-2011,State Hydro,,,5156,1600,1204,35.7,1610
10-03-2011,Regional Hydro,,,13597,7284,2851,114.5,4891
11-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
11-03-2011,Central +BBMB Hydro,,,8441,5993,1555.9,77.2,3218
11-03-2011,State Hydro,,,5156,1799,1167,35.4,1566
11-03-2011,Regional Hydro,,,13597,7792,2723,112.6,4784
12-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
12-03-2011,Central +BBMB Hydro,,,8441,6223.7,1363.4,78.7,3281
12-03-2011,State Hydro,,,5156,1465,1061,36.2,1530
12-03-2011,Regional Hydro,,,13597,7689,2424,114.9,4811
13-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
13-03-2011,Central +BBMB Hydro,,,8441,6340.7,1736,79.7,3322
13-03-2011,State Hydro,,,5156,1611,1169,36.0,1539
13-03-2011,Regional Hydro,,,13597,7952,2905,115.7,4861
14-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
14-03-2011,Central +BBMB Hydro,,,8441,6661,1833,84.0,3502
14-03-2011,State Hydro,,,5156,2077,1316,41.3,1741
14-03-2011,Regional Hydro,,,13597,8738,3149,125.3,5243
15-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
15-03-2011,Central +BBMB Hydro,,,8441,5813,1868,84.9,3537
15-03-2011,State Hydro,,,5156,2088,1296,42.7,1823
15-03-2011,Regional Hydro,,,13597,7901,3164,127.6,5361
16-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
16-03-2011,Central +BBMB Hydro,,,8441,6243,1845,87.5,3645
16-03-2011,State Hydro,,,5156,2063,1710,44.2,1943
16-03-2011,Regional Hydro,,,13597,8306,3555,131.6,5588
17-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
17-03-2011,Central +BBMB Hydro,,,8441,6644,1738,87.7,3656
17-03-2011,State Hydro,,,5156,1996,1459,44.3,1999
17-03-2011,Regional Hydro,,,13597,8640,3197,132.0,5655
18-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
18-03-2011,Central +BBMB Hydro,,,8441,6915,2090,94.7,3947
18-03-2011,State Hydro,,,5156,2225,1887,43.7,2200
18-03-2011,Regional Hydro,,,13597,9140,3977,138.4,6146
19-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
19-03-2011,Central +BBMB Hydro,,,8441,6941,1773,94.7,3946
19-03-2011,State Hydro,,,5156,2330,2024,42.7,2185
19-03-2011,Regional Hydro,,,13597,9271,3797,137.4,6131
20-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
20-03-2011,Central +BBMB Hydro,,,8441,6605,2062,92.1,3837
20-03-2011,State Hydro,,,5156,1983,1955,47.4,2070
20-03-2011,Regional Hydro,,,13597,8588,4017,139.5,5906
21-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
21-03-2011,Central +BBMB Hydro,,,8441,6729,2532,94.3,3927
21-03-2011,State Hydro,,,5156,1738,1842,42.8,1975
21-03-2011,Regional Hydro,,,13597,8467,4374,137.1,5903
22-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
22-03-2011,Central +BBMB Hydro,,,8441,6346,1817,87.2,3632
22-03-2011,State Hydro,,,5156,1849,1952,41.7,1908
22-03-2011,Regional Hydro,,,13597,8195,3769,128.8,5541
23-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
23-03-2011,Central +BBMB Hydro,,,8441,6171,1725,85.3,3553
23-03-2011,State Hydro,,,5156,1964,1714,39.7,1848
23-03-2011,Regional Hydro,,,13597,8135,3439,124.9,5401
24-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
24-03-2011,Central +BBMB Hydro,,,8441,6408,1773,86.7,3611
24-03-2011,State Hydro,,,5156,1822,1565,41.2,1780
24-03-2011,Regional Hydro,,,13597,8230,3338,127.9,5391
25-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
25-03-2011,Central +BBMB Hydro,,,8441,6040,1642,86.8,3615
25-03-2011,State Hydro,,,5156,1810,1516,40.0,1700
25-03-2011,Regional Hydro,,,13597,7850,3158,126.8,5314
26-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
26-03-2011,Central +BBMB Hydro,,,8441,6705,1988,92.4,3849
26-03-2011,State Hydro,,,5156,1847,1579,40.7,1789
26-03-2011,Regional Hydro,,,13597,8552,3567,133.0,5638
27-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
27-03-2011,Central +BBMB Hydro,,,8441,6800,2156,94.2,3923
27-03-2011,State Hydro,,,5156,2377,2179,43.7,2209
27-03-2011,Regional Hydro,,,13597,9177,4335,137.9,6132
28-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
28-03-2011,Central +BBMB Hydro,,,8441,7141,1965,99.3,4139
28-03-2011,State Hydro,,,5156,2441,2347,45.9,2338
28-03-2011,Regional Hydro,,,13597,9582,4312,145.2,6478
29-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
29-03-2011,Central +BBMB Hydro,,,8441,7185,2029,98.1,4088
29-03-2011,State Hydro,,,5156,2114,2298,47.5,2129
29-03-2011,Regional Hydro,,,13597,9299,4327,145.6,6217
30-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
30-03-2011,Central +BBMB Hydro,,,8441,7032,2002,96.4,4016
30-03-2011,State Hydro,,,5156,2108,1787,45.1,1970
30-03-2011,Regional Hydro,,,13597,9140,3789,141.5,5986
31-03-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
31-03-2011,Central +BBMB Hydro,,,8441,6734,1995,91.8,3825
31-03-2011,State Hydro,,,6422,2058,1706,43.9,1940
31-03-2011,Regional Hydro,,,14863,8792,3701,135.7,5765
01-04-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
01-04-2011,IV. Total Hydro Generation:,,,,,,,
01-04-2011,Central +BBMB Hydro,,,8841,6354,6525,96,3986
01-04-2011,State Hydro,,,6422,2162,1801,43.4,2011
02-04-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
02-04-2011,IV. Total Hydro Generation:,,,,,,,
