01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
30-03-2013,Budhil HPS(IPP),70,0,0,0,0.00,0
30-03-2013,Sub Total (G ),1662,0,614,262,10.60,442
30-03-2013,,22836,16926,16093,10539,291.20,12133
30-03-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
30-03-2013,Guru Gobind Singh TPS (Ropar),,1260,510,510,12.96,540
30-03-2013,Guru Nanak Dev TPS(Bhatinda),,440,110,95,2.27,95
30-03-2013,Guru Hargobind Singh TPS(L.mbt),,920,494,501,13.57,565
30-03-2013,Thermal (Total),,2620,1114,1106,28.79,1200
30-03-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],254,317,8.42,351
30-03-2013,Grand Total Generation,Grand Total Generation,3768,1368,1423,37.21,1551
31-03-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
31-03-2013,Pong HPS,396,36,180,0,0.88,37
31-03-2013,Sub Total (F ),2866,957,1832,579,23.54,981
31-03-2013,ADHPL HPS(IPP),192,0,39,0,0.30,13
31-03-2013,KWHEP  HPS(IPP),1000,0,300,0,4.06,169
31-03-2013,Malana Stg-II HPS,100,0,50,0,0.29,12
31-03-2013,Shree Cement TPS,300,0,168,231,5.63,235
31-03-2013,Budhil HPS(IPP),70,0,0,0,0.00,0
31-03-2013,Sub Total (G ),1662,0,557,231,10.28,428
31-03-2013,,22836,17349,16199,10845,300.34,12514
31-03-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
31-03-2013,Guru Gobind Singh TPS (Ropar),,1260,480,510,12.65,527
31-03-2013,Guru Nanak Dev TPS(Bhatinda),,440,99,95,2.14,89
31-03-2013,Guru Hargobind Singh TPS(L.mbt),,920,524,591,14.03,584
31-03-2013,Thermal (Total),,2620,1103,1196,28.82,1201
31-03-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],148,326,7.64,319
31-03-2013,Grand Total Generation,Grand Total Generation,3768,1251,1522,36.46,1519
01-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-04-2013,Pong HPS,396,46,240,0,1.35,56
01-04-2013,Sub Total (F ),2866,941,1886,715,23.23,968
01-04-2013,ADHPL HPS(IPP),192,0,30,30,0.72,30
01-04-2013,KWHEP  HPS(IPP),1000,0,215,130,6.42,268
01-04-2013,Malana Stg-II HPS,100,0,52,0,0.31,13
01-04-2013,Shree Cement TPS,300,0,267,213,5.85,244
01-04-2013,Budhil HPS(IPP),70,0,0,0,0.00,0
01-04-2013,Sub Total (G ),1662,0,564,373,13.30,554
01-04-2013,,22836,16654,16706,10522,288.48,12020
01-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
01-04-2013,Guru Gobind Singh TPS (Ropar),,1260,700,550,15.86,661
01-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,110,3.18,133
01-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,649,688,16.30,679
01-04-2013,Thermal (Total),,2620,1539,1348,35.34,1473
01-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],351,272,7.96,332
01-04-2013,Grand Total Generation,Grand Total Generation,3768,1890,1620,43.30,1804
02-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-04-2013,Pong HPS,396,55,240,0,1.42,59
02-04-2013,Sub Total (F ),2866,937,1883,746,23.82,993
02-04-2013,ADHPL HPS(IPP),192,0,30,30,0.72,30
02-04-2013,KWHEP  HPS(IPP),1000,0,291,0,6.61,275
02-04-2013,Malana Stg-II HPS,100,0,52,0,0.35,14
02-04-2013,Shree Cement TPS,300,0,267,231,6.04,251
02-04-2013,Budhil HPS(IPP),70,0,25,0,0.31,13
02-04-2013,Sub Total (G ),1662,0,665,261,14.02,584
02-04-2013,,22836,16077,15580,10109,288.79,12033
02-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
02-04-2013,Guru Gobind Singh TPS (Ropar),,1260,700,700,16.57,690
02-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,190,4.26,178
02-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,643,644,17.31,721
02-04-2013,Thermal (Total),,2620,1533,1534,38.14,1589
02-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],327,347,8.17,341
02-04-2013,Grand Total Generation,Grand Total Generation,3768,1860,1881,46.31,1930
03-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
03-04-2013,Pong HPS,396,55,240,0,1.42,59
03-04-2013,Sub Total (F ),2866,975,2034,746,24.72,1030
03-04-2013,ADHPL HPS(IPP),192,0,30,31,0.71,30
03-04-2013,KWHEP  HPS(IPP),1000,0,300,0,6.16,257
03-04-2013,Malana Stg-II HPS,100,0,52,0,0.34,14
03-04-2013,Shree Cement TPS,300,0,256,234,6.09,254
03-04-2013,Budhil HPS(IPP),70,0,25,0,0.36,15
03-04-2013,Sub Total (G ),1662,0,663,265,13.67,570
03-04-2013,,22836,16426,16468,9400,282.85,11785
03-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
03-04-2013,Guru Gobind Singh TPS (Ropar),,1260,992,680,19.09,795
03-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,190,4.25,177
03-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,644,646,17.19,716
03-04-2013,Thermal (Total),,2620,1826,1516,40.53,1689
03-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],464,328,8.37,349
03-04-2013,Grand Total Generation,Grand Total Generation,3768,2290,1844,48.90,2037
04-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
04-04-2013,Pong HPS,396,43,180,0,1.01,42
04-04-2013,Sub Total (F ),2866,945,1753,696,22.98,957
04-04-2013,ADHPL HPS(IPP),192,0,29,30,0.68,28
04-04-2013,KWHEP  HPS(IPP),1000,0,210,0,5.97,249
04-04-2013,Malana Stg-II HPS,100,0,53,0,0.34,14
04-04-2013,Shree Cement TPS,300,0,268,229,5.88,245
04-04-2013,Budhil HPS(IPP),70,0,0,25,0.21,9
04-04-2013,Sub Total (G ),1662,0,560,284,13.06,544
04-04-2013,,22836,16801,15821,10797,294.75,12281
04-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
04-04-2013,Guru Gobind Singh TPS (Ropar),,1260,885,710,17.66,736
04-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,190,4.32,180
04-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,643,649,18.80,784
04-04-2013,Thermal (Total),,2620,1718,1549,40.78,1699
04-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],312,324,8.73,364
04-04-2013,Grand Total Generation,Grand Total Generation,3768,2030,1873,49.51,2063
05-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
05-04-2013,Pong HPS,396,26,180,0,0.62,26
05-04-2013,Sub Total (F ),2866,924,1589,796,23.62,984
05-04-2013,ADHPL HPS(IPP),192,0,27,20,0.55,23
05-04-2013,KWHEP  HPS(IPP),1000,0,140,0,5.44,227
05-04-2013,Malana Stg-II HPS,100,0,50,0,0.30,13
05-04-2013,Shree Cement TPS,300,0,265,269,6.34,264
05-04-2013,Budhil HPS(IPP),70,0,0,34,0.14,6
05-04-2013,Sub Total (G ),1662,0,482,323,12.77,532
05-04-2013,,22836,16589,15863,10220,282.96,11790
05-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
05-04-2013,Guru Gobind Singh TPS (Ropar),,1260,900,690,18.39,766
05-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,190,4.23,176
05-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,731,652,18.47,770
05-04-2013,Thermal (Total),,2620,1821,1532,41.09,1712
05-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],399,314,8.15,340
05-04-2013,Grand Total Generation,Grand Total Generation,3768,2220,1846,49.23,2051
06-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
06-04-2013,Pong HPS,396,15,120,0,0.41,17
06-04-2013,Sub Total (F ),2866,886,1715,760,21.91,913
06-04-2013,ADHPL HPS(IPP),192,0,29,29,0.66,27
06-04-2013,KWHEP  HPS(IPP),1000,0,151,0,5.47,228
06-04-2013,Malana Stg-II HPS,100,0,46,0,0.30,13
06-04-2013,Shree Cement TPS,300,0,266,270,6.45,269
06-04-2013,Budhil HPS(IPP),70,0,0,35,0.38,16
06-04-2013,Sub Total (G ),1662,0,492,334,13.26,553
06-04-2013,,22836,16477,15823,11014,284.52,11855
06-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
06-04-2013,Guru Gobind Singh TPS (Ropar),,1260,695,890,19.23,801
06-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,190,190,4.20,175
06-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,961,652,18.10,754
06-04-2013,Thermal (Total),,2620,1846,1732,41.52,1730
06-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],286,318,7.55,315
06-04-2013,Grand Total Generation,Grand Total Generation,3768,2132,2050,49.07,2045
07-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
07-04-2013,Pong HPS,396,27,180,0,0.75,31
07-04-2013,Sub Total (F ),2866,924,1770,761,22.88,953
07-04-2013,ADHPL HPS(IPP),192,0,26,30,0.69,29
07-04-2013,KWHEP  HPS(IPP),1000,0,218,0,4.56,190
07-04-2013,Malana Stg-II HPS,100,0,51,0,0.34,14
07-04-2013,Shree Cement TPS,300,0,268,268,5.46,228
07-04-2013,Budhil HPS(IPP),70,0,0,35,0.25,10
07-04-2013,Sub Total (G ),1662,0,563,333,11.31,471
07-04-2013,,22836,16522,15776,10136,279.53,11647
07-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
07-04-2013,Guru Gobind Singh TPS (Ropar),,1260,760,890,18.66,777
07-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,165,190,4.01,167
07-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,683,648,15.51,646
07-04-2013,Thermal (Total),,2620,1608,1728,38.18,1591
07-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],326,286,7.18,299
07-04-2013,Grand Total Generation,Grand Total Generation,3768,1934,2014,45.36,1890
08-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
08-04-2013,Pong HPS,396,39,180,0,0.90,38
08-04-2013,Sub Total (F ),2866,935,1773,761,23.02,959
08-04-2013,ADHPL HPS(IPP),192,0,26,30,0.69,29
08-04-2013,KWHEP  HPS(IPP),1000,0,170,0,6.45,269
08-04-2013,Malana Stg-II HPS,100,0,50,0,0.47,20
08-04-2013,Shree Cement TPS,300,0,265,197,5.48,228
08-04-2013,Budhil HPS(IPP),70,0,0,34,0.37,16
08-04-2013,Sub Total (G ),1662,0,511,261,13.46,561
08-04-2013,,22836,16767,16391,10079,293.98,12249
08-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
08-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1030,900,21.32,888
08-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,214,190,4.20,175
08-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,726,742,16.92,705
08-04-2013,Thermal (Total),,2620,1970,1832,42.43,1768
08-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],353,324,7.95,331
08-04-2013,Grand Total Generation,Grand Total Generation,3768,2323,2156,50.38,2099
09-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
09-04-2013,Pong HPS,396,20,120,0,0.25,10
09-04-2013,Sub Total (F ),2866,824,1384,826,20.99,875
09-04-2013,ADHPL HPS(IPP),192,0,26,30,0.69,29
09-04-2013,KWHEP  HPS(IPP),1000,0,251,0,8.08,337
09-04-2013,Malana Stg-II HPS,100,0,60,0,0.50,21
09-04-2013,Shree Cement TPS,300,0,264,241,6.07,253
09-04-2013,Budhil HPS(IPP),70,0,29,34,0.40,17
09-04-2013,Sub Total (G ),1662,0,630,305,15.73,655
09-04-2013,,22836,16441,15608,11455,299.67,12486
09-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
09-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1052,890,21.80,908
09-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,210,190,4.24,177
09-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,959,826,20.12,838
09-04-2013,Thermal (Total),,2620,2221,1906,46.16,1923
09-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],225,304,6.51,271
09-04-2013,Grand Total Generation,Grand Total Generation,3768,2446,2210,52.67,2195
10-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
10-04-2013,Pong HPS,396,6,120,0,0.17,7
10-04-2013,Sub Total (F ),2866,610,1259,648,16.16,673
10-04-2013,ADHPL HPS(IPP),192,0,26,30,0.69,29
10-04-2013,KWHEP  HPS(IPP),1000,0,302,0,7.58,316
10-04-2013,Malana Stg-II HPS,100,0,61,0,0.40,17
10-04-2013,Shree Cement TPS,300,0,266,261,6.34,264
10-04-2013,Budhil HPS(IPP),70,0,35,35,0.52,22
10-04-2013,Sub Total (G ),1662,0,690,326,15.53,647
10-04-2013,,22836,15375,15226,10359,276.20,11508
10-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
10-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,931,22.33,931
10-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,214,190,4.45,186
10-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,969,881,19.66,819
10-04-2013,Thermal (Total),,2620,2233,2002,46.45,1935
10-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],342,225,5.95,248
10-04-2013,Grand Total Generation,Grand Total Generation,3768,2575,2227,52.40,2183
11-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
11-04-2013,Pong HPS,396,9,120,0,0.31,13
11-04-2013,Sub Total (F ),2866,640,1257,651,16.03,668
11-04-2013,ADHPL HPS(IPP),192,0,30,31,0.72,30
11-04-2013,KWHEP  HPS(IPP),1000,0,300,0,6.56,273
11-04-2013,Malana Stg-II HPS,100,0,0,0,0.31,13
11-04-2013,Shree Cement TPS,300,0,226,269,5.87,244
11-04-2013,Budhil HPS(IPP),70,0,25,10,0.41,17
11-04-2013,Sub Total (G ),1662,0,581,310,13.86,578
11-04-2013,,22836,15454,15950,10259,279.49,11645
11-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
11-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,930,23.36,973
11-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,202,190,6.37,266
11-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,965,821,21.09,879
11-04-2013,Thermal (Total),,2620,2217,1941,50.82,2117
11-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],327,222,5.94,247
11-04-2013,Grand Total Generation,Grand Total Generation,3768,2544,2163,56.76,2365
12-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
12-04-2013,Pong HPS,396,11,120,0,0.33,14
12-04-2013,Sub Total (F ),2866,619,1252,623,15.46,644
12-04-2013,ADHPL HPS(IPP),192,0,30,31,0.72,30
12-04-2013,KWHEP  HPS(IPP),1000,0,438,0,6.17,257
12-04-2013,Malana Stg-II HPS,100,0,0,0,0.31,13
12-04-2013,Shree Cement TPS,300,0,267,203,5.99,250
12-04-2013,Budhil HPS(IPP),70,0,25,10,0.41,17
12-04-2013,Sub Total (G ),1662,0,760,244,13.60,567
12-04-2013,,22836,14986,15072,9886,278.23,11593
12-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
12-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1053,1052,23.69,987
12-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,204,202,4.34,181
12-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,965,963,21.36,890
12-04-2013,Thermal (Total),,2620,2222,2217,49.39,2058
12-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],342,237,7.43,309
12-04-2013,Grand Total Generation,Grand Total Generation,3768,2564,2454,56.81,2367
13-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
13-04-2013,Pong HPS,396,10,120,0,0.31,13
13-04-2013,Sub Total (F ),2866,645,1411,587,15.82,659
13-04-2013,ADHPL HPS(IPP),192,0,31,31,1.01,42
13-04-2013,KWHEP  HPS(IPP),1000,0,519,0,5.82,243
13-04-2013,Malana Stg-II HPS,100,0,0,35,0.54,22
13-04-2013,Shree Cement TPS,300,0,178,237,5.75,239
13-04-2013,Budhil HPS(IPP),70,0,25,10,0.41,17
13-04-2013,Sub Total (G ),1662,0,753,313,13.53,564
13-04-2013,,22836,15542,15385,10680,283.12,11797
13-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
13-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1050,23.62,984
13-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,205,205,4.44,185
13-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,928,954,21.00,875
13-04-2013,Thermal (Total),,2620,2183,2209,49.06,2044
13-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],342,342,7.57,315
13-04-2013,Grand Total Generation,Grand Total Generation,3768,2525,2551,56.63,2360
14-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
14-04-2013,Pong HPS,396,10,120,0,0.31,13
14-04-2013,Sub Total (F ),2866,726,1408,616,17.72,738
14-04-2013,ADHPL HPS(IPP),192,0,63,0,0.57,24
14-04-2013,KWHEP  HPS(IPP),1000,0,450,0,5.96,248
14-04-2013,Malana Stg-II HPS,100,0,0,0,0.47,20
14-04-2013,Shree Cement TPS,300,0,224,248,5.62,234
14-04-2013,Budhil HPS(IPP),70,0,25,10,0.41,17
14-04-2013,Sub Total (G ),1662,0,762,258,13.03,543
14-04-2013,,22836,15452,14985,10242,271.33,11305
14-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
14-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1055,22.51,938
14-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,323,205,5.55,231
14-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,931,924,19.69,820
14-04-2013,Thermal (Total),,2620,2304,2184,47.74,1989
14-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],252,342,6.33,264
14-04-2013,Grand Total Generation,Grand Total Generation,3768,2556,2526,54.07,2253
15-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
15-04-2013,Pong HPS,396,10,120,0,0.32,13
15-04-2013,Sub Total (F ),2866,661,1242,596,15.79,658
15-04-2013,ADHPL HPS(IPP),192,0,90,30,1.09,46
15-04-2013,KWHEP  HPS(IPP),1000,0,803,291,9.00,375
15-04-2013,Malana Stg-II HPS,100,0,40,0,0.47,20
15-04-2013,Shree Cement TPS,300,0,255,259,6.24,260
15-04-2013,Budhil HPS(IPP),70,0,69,34,0.51,21
15-04-2013,Sub Total (G ),1662,0,1257,614,17.31,721
15-04-2013,,22836,15116,15517,9869,275.32,11472
15-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
15-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1051,23.64,985
15-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,336,329,7.14,297
15-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,928,930,20.57,857
15-04-2013,Thermal (Total),,2620,2314,2310,51.34,2139
15-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],338,342,7.26,302
15-04-2013,Grand Total Generation,Grand Total Generation,3768,2652,2652,58.60,2442
16-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
16-04-2013,Pong HPS,396,10,120,0,0.31,13
16-04-2013,Sub Total (F ),2866,640,1240,622,15.83,660
16-04-2013,ADHPL HPS(IPP),192,0,60,32,0.96,40
16-04-2013,KWHEP  HPS(IPP),1000,0,600,380,8.16,340
16-04-2013,Malana Stg-II HPS,100,0,0,0,0.51,21
16-04-2013,Shree Cement TPS,300,0,268,270,6.46,269
16-04-2013,Budhil HPS(IPP),70,0,34,10,0.35,15
16-04-2013,Sub Total (G ),1662,0,962,692,16.43,685
16-04-2013,,22836,15185,16089,10158,281.02,11709
16-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
16-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1050,23.40,975
16-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,336,336,7.03,293
16-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,870,917,20.57,857
16-04-2013,Thermal (Total),,2620,2256,2303,50.99,2125
16-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],404,344,7.38,308
16-04-2013,Grand Total Generation,Grand Total Generation,3768,2660,2647,58.37,2432
17-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
17-04-2013,Pong HPS,396,10,120,0,0.33,14
17-04-2013,Sub Total (F ),2866,644,1058,576,16.19,675
17-04-2013,ADHPL HPS(IPP),192,0,90,30,1.08,45
17-04-2013,KWHEP  HPS(IPP),1000,0,716,300,10.09,420
17-04-2013,Malana Stg-II HPS,100,0,0,0,0.37,16
17-04-2013,Shree Cement TPS,300,0,240,271,6.03,251
17-04-2013,Budhil HPS(IPP),70,0,34,10,0.35,15
17-04-2013,Sub Total (G ),1662,0,1080,611,17.92,747
