01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
17-04-2013,,22836,15629,14319,11042,299.25,12469
17-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
17-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1055,890,21.93,914
17-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,336,298,6.76,282
17-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,956,781,19.93,831
17-04-2013,Thermal (Total),,2620,2347,1969,48.62,2026
17-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],224,344,6.16,257
17-04-2013,Grand Total Generation,Grand Total Generation,3768,2571,2313,54.78,2283
18-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
18-04-2013,Pong HPS,396,10,120,0,0.31,13
18-04-2013,Sub Total (F ),2866,637,1246,584,15.64,652
18-04-2013,ADHPL HPS(IPP),192,0,5,3,0.86,36
18-04-2013,KWHEP  HPS(IPP),1000,0,695,0,8.48,353
18-04-2013,Malana Stg-II HPS,100,0,50,0,0.50,21
18-04-2013,Shree Cement TPS,300,0,235,243,5.95,248
18-04-2013,Budhil HPS(IPP),70,0,0,70,0.52,22
18-04-2013,Sub Total (G ),1662,0,985,316,16.31,680
18-04-2013,,22836,15372,16014,10439,293.89,12246
18-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
18-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,943,22.77,949
18-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,216,336,5.39,225
18-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,961,960,20.72,863
18-04-2013,Thermal (Total),,2620,2227,2239,48.88,2037
18-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],254,224,5.86,244
18-04-2013,Grand Total Generation,Grand Total Generation,3768,2481,2463,54.74,2281
19-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
19-04-2013,Pong HPS,396,10,120,0,0.32,13
19-04-2013,Sub Total (F ),2866,624,1248,469,15.84,660
19-04-2013,ADHPL HPS(IPP),192,0,90,30,1.08,45
19-04-2013,KWHEP  HPS(IPP),1000,0,641,0,6.98,291
19-04-2013,Malana Stg-II HPS,100,0,0,0,0.50,21
19-04-2013,Shree Cement TPS,300,0,248,252,5.72,238
19-04-2013,Budhil HPS(IPP),70,0,35,10,0.40,17
19-04-2013,Sub Total (G ),1662,0,1014,292,14.68,612
19-04-2013,,22836,14950,14834,9908,275.37,11474
19-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
19-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1050,22.80,950
19-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,330,333,7.05,294
19-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,964,963,20.79,866
19-04-2013,Thermal (Total),,2620,2344,2346,50.64,2110
19-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],60,344,3.97,165
19-04-2013,Grand Total Generation,Grand Total Generation,3768,2404,2690,54.60,2275
20-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
20-04-2013,Pong HPS,396,10,120,0,0.30,13
20-04-2013,Sub Total (F ),2866,608,1248,453,15.91,663
20-04-2013,ADHPL HPS(IPP),192,0,84,30,1.04,43
20-04-2013,KWHEP  HPS(IPP),1000,0,601,0,7.89,329
20-04-2013,Malana Stg-II HPS,100,0,0,0,0.50,21
20-04-2013,Shree Cement TPS,300,0,247,244,5.95,248
20-04-2013,Budhil HPS(IPP),70,0,35,10,0.40,17
20-04-2013,Sub Total (G ),1662,0,967,284,15.77,657
20-04-2013,,22836,14772,15329,9240,269.99,11250
20-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
20-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,1050,23.50,979
20-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,333,335,7.06,294
20-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,855,960,20.13,839
20-04-2013,Thermal (Total),,2620,2238,2345,50.70,2112
20-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],60,224,3.31,138
20-04-2013,Grand Total Generation,Grand Total Generation,3768,2298,2569,54.01,2250
21-04-2013,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
21-04-2013,Pong HPS,396,10,120,0,0.31,13
21-04-2013,Sub Total (F ),2866,608,1248,448,15.62,651
21-04-2013,ADHPL HPS(IPP),192,0,65,77,1.02,42
21-04-2013,KWHEP  HPS(IPP),1000,0,694,0,6.85,285
21-04-2013,Malana Stg-II HPS,100,0,0,0,0.47,20
21-04-2013,Shree Cement TPS,300,0,247,244,5.95,248
21-04-2013,Budhil HPS(IPP),70,0,0,34,0.25,10
21-04-2013,Sub Total (G ),1662,0,1006,355,14.53,605
21-04-2013,,22836,15142,15471,9099,262.60,10942
21-04-2013,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
21-04-2013,Guru Gobind Singh TPS (Ropar),,1260,1050,890,20.42,851
21-04-2013,Guru Nanak Dev TPS(Bhatinda),,440,329,295,6.40,267
21-04-2013,Guru Hargobind Singh TPS(L.mbt),,920,950,808,16.78,699
21-04-2013,Thermal (Total),,2620,2329,1993,43.60,1817
21-04-2013,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],60,104,1.69,70
