15-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
15-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
15-01-2011,Pong,426.72,384.05,415.80,713.51,396.57,150.49,64.28,272.61
15-01-2011,Tehri,829.79,740.04,820.10,1002.00,,,40.91,6.00
15-01-2011,Rihand,268.22,252.98,256.92,,257.65,,,
15-01-2011,RSD,527.91,487.91,,,,,,
15-01-2011,,,,,,,,,
15-01-2011,IX. System Constraints:,,,,,,,,
16-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
16-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
16-01-2011,Pong,426.72,384.05,415.72,713.51,396.46,150.49,74.73,260.71
16-01-2011,Tehri,829.79,740.04,820.25,1002.27,,,41.99,0.00
16-01-2011,Rihand,268.22,252.98,256.92,,257.65,,,
16-01-2011,RSD,527.91,487.91,,,,,,
16-01-2011,,,,,,,,,
16-01-2011,IX. System Constraints:,,,,,,,,
17-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
17-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
17-01-2011,Pong,426.72,384.05,415.65,713.51,396.36,144.62,93.56,272.12
17-01-2011,Tehri,829.79,740.04,820.35,1002.27,,,41.30,0.00
17-01-2011,Rihand,268.22,252.98,256.89,,257.59,,,
17-01-2011,RSD,527.91,487.91,,,,,,
17-01-2011,,,,,,,,,
17-01-2011,IX. System Constraints:,,,,,,,,
18-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
18-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
18-01-2011,Pong,426.72,384.05,415.62,713.51,396.24,144.62,89.74,156.71
18-01-2011,Tehri,829.79,740.04,820.50,1023.38,,,40.81,0.00
18-01-2011,Rihand,268.22,252.98,256.79,,257.56,,,
18-01-2011,RSD,527.91,487.91,,,,,,
18-01-2011,,,,,,,,,
18-01-2011,IX. System Constraints:,,,,,,,,
19-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
19-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
19-01-2011,Pong,426.72,384.05,415.58,700.83,396.13,144.62,92.31,189.01
19-01-2011,Tehri,829.79,740.04,820.60,1023.38,,,40.97,0.00
19-01-2011,Rihand,268.22,252.98,256.79,,257.53,,,
19-01-2011,RSD,527.91,487.91,,,,,,
19-01-2011,,,,,,,,,
19-01-2011,IX. System Constraints:,,,,,,,,
20-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
20-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
20-01-2011,Pong,426.72,384.05,415.54,700.83,396.02,139.77,94.95,191.68
20-01-2011,Tehri,829.79,740.04,820.70,1023.38,,,40.57,0.00
20-01-2011,Rihand,268.22,252.98,256.76,,257.50,,,
20-01-2011,RSD,527.91,487.91,,,,,,
20-01-2011,,,,,,,,,
20-01-2011,IX. System Constraints:,,,,,,,,
21-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
21-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
21-01-2011,Pong,426.72,384.05,415.50,700.83,395.92,139.77,72.24,176.39
21-01-2011,Tehri,829.79,740.04,820.80,1023.38,,,40.64,0.00
21-01-2011,Rihand,268.22,252.98,256.76,,257.50,,,
21-01-2011,RSD,527.91,487.91,,,,,,
21-01-2011,,,,,,,,,
21-01-2011,IX. System Constraints:,,,,,,,,
22-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
22-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
22-01-2011,Pong,426.72,384.05,415.44,700.83,395.85,139.77,61.39,202.75
22-01-2011,Tehri,829.79,740.04,820.80,1023.38,,,41.06,0.00
22-01-2011,Rihand,268.22,252.98,256.73,,257.43,,,
22-01-2011,RSD,527.91,487.91,,,,,,
22-01-2011,,,,,,,,,
22-01-2011,IX. System Constraints:,,,,,,,,
23-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
23-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
23-01-2011,Pong,426.72,384.05,415.40,700.83,395.76,134.94,65.53,177.12
23-01-2011,Tehri,829.79,740.04,821.05,1023.38,,,40.93,0.00
23-01-2011,Rihand,268.22,252.98,256.70,,257.40,,,
23-01-2011,RSD,527.91,487.91,,,,,,
23-01-2011,,,,,,,,,
23-01-2011,IX. System Constraints:,,,,,,,,
24-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
24-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
24-01-2011,Pong,426.72,384.05,415.33,700.83,395.72,134.94,58.98,215.24
24-01-2011,Tehri,829.79,740.04,821.05,1023.38,,,40.88,37.00
24-01-2011,Rihand,268.22,252.98,256.70,,257.37,,,
24-01-2011,RSD,527.91,487.91,,,,,,
24-01-2011,,,,,,,,,
24-01-2011,IX. System Constraints:,,,,,,,,
25-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
25-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
