"city","YR","M","D","HR","MW"
"Manila",2011,1,5,23,4939
"Manila",2011,1,5,24,4776
"Manila",2011,1,6,1,4574
"Manila",2011,1,6,2,4430
"Manila",2011,1,6,3,4292
"Manila",2011,1,6,4,4311
"Manila",2011,1,6,5,4487
"Manila",2011,1,6,6,4677
"Manila",2011,1,6,7,4736
"Manila",2011,1,6,8,5039
"Manila",2011,1,6,9,5668
"Manila",2011,1,6,10,5927
"Manila",2011,1,6,11,6239
"Manila",2011,1,6,12,6099
"Manila",2011,1,6,13,6046
"Manila",2011,1,6,14,6301
"Manila",2011,1,6,15,6174
"Manila",2011,1,6,16,6071
"Manila",2011,1,6,17,5924
"Manila",2011,1,6,18,6185
"Manila",2011,1,6,19,6158
"Manila",2011,1,6,20,5968
"Manila",2011,1,6,21,5705
"Manila",2011,1,6,22,5345
"Manila",2011,1,6,23,5018
"Manila",2011,1,6,24,4677
"Manila",2011,1,7,1,4593
"Manila",2011,1,7,2,4444
"Manila",2011,1,7,3,4357
"Manila",2011,1,7,4,4260
"Manila",2011,1,7,5,4497
"Manila",2011,1,7,6,4669
"Manila",2011,1,7,7,4728
"Manila",2011,1,7,8,5201
"Manila",2011,1,7,9,5540
"Manila",2011,1,7,10,5975
"Manila",2011,1,7,11,6249
"Manila",2011,1,7,12,6121
"Manila",2011,1,7,13,6120
"Manila",2011,1,7,14,6295
"Manila",2011,1,7,15,6157
"Manila",2011,1,7,16,6044
"Manila",2011,1,7,17,5808
"Manila",2011,1,7,18,6052
"Manila",2011,1,7,19,6087
"Manila",2011,1,7,20,5813
"Manila",2011,1,7,21,5568
"Manila",2011,1,7,22,5204
"Manila",2011,1,7,23,4938
"Manila",2011,1,7,24,4753
"Manila",2011,1,8,1,4559
"Manila",2011,1,8,2,4421
"Manila",2011,1,8,3,4264
"Manila",2011,1,8,4,4220
"Manila",2011,1,8,5,4267
"Manila",2011,1,8,6,4347
"Manila",2011,1,8,7,4395
"Manila",2011,1,8,8,4778
"Manila",2011,1,8,9,5304
"Manila",2011,1,8,10,5770
"Manila",2011,1,8,11,5926
"Manila",2011,1,8,12,5809
"Manila",2011,1,8,13,5772
"Manila",2011,1,8,14,5903
"Manila",2011,1,8,15,5701
"Manila",2011,1,8,16,5531
"Manila",2011,1,8,17,5376
"Manila",2011,1,8,18,5683
"Manila",2011,1,8,19,5793
"Manila",2011,1,8,20,5678
"Manila",2011,1,8,21,5462
"Manila",2011,1,8,22,5350
"Manila",2011,1,8,23,5065
"Manila",2011,1,8,24,4755
"Manila",2011,1,9,1,4532
"Manila",2011,1,9,2,4379
"Manila",2011,1,9,3,4249
"Manila",2011,1,9,4,4185
"Manila",2011,1,9,5,4171
"Manila",2011,1,9,6,4163
"Manila",2011,1,9,7,4129
"Manila",2011,1,9,8,4306
"Manila",2011,1,9,9,4624
"Manila",2011,1,9,10,4976
"Manila",2011,1,9,11,5142
"Manila",2011,1,9,12,5203
"Manila",2011,1,9,13,5145
"Manila",2011,1,9,14,5139
"Manila",2011,1,9,15,4997
"Manila",2011,1,9,16,4961
"Manila",2011,1,9,17,4786
"Manila",2011,1,9,18,5271
"Manila",2011,1,9,19,5407
"Manila",2011,1,9,20,5365
"Manila",2011,1,9,21,5158
"Manila",2011,1,9,22,4774
"Manila",2011,1,9,23,4326
"Manila",2011,1,9,24,4132
"Manila",2011,1,10,1,4055
"Manila",2011,1,10,2,3850
"Manila",2011,1,10,3,3775
"Manila",2011,1,10,4,3769
"Manila",2011,1,10,5,4011
"Manila",2011,1,10,6,4293
"Manila",2011,1,10,7,4328
"Manila",2011,1,10,8,4803
"Manila",2011,1,10,9,5541
"Manila",2011,1,10,10,5954
"Manila",2011,1,10,11,6194
"Manila",2011,1,10,12,6034
"Manila",2011,1,10,13,5958
"Manila",2011,1,10,14,6163
"Manila",2011,1,10,15,6019
"Manila",2011,1,10,16,5965
"Manila",2011,1,10,17,5830
"Manila",2011,1,10,18,6038
"Manila",2011,1,10,19,6060
"Manila",2011,1,10,20,5869
"Manila",2011,1,10,21,5556
"Manila",2011,1,10,22,5328
"Manila",2011,1,10,23,4900
"Manila",2011,1,10,24,4621
"Manila",2011,1,11,1,4384
"Manila",2011,1,11,2,4233
"Manila",2011,1,11,3,4134
"Manila",2011,1,11,4,4115
"Manila",2011,1,11,5,4278
"Manila",2011,1,11,6,4546
"Manila",2011,1,11,7,4472
"Manila",2011,1,11,8,4921
"Manila",2011,1,11,9,5601
"Manila",2011,1,11,10,6023
"Manila",2011,1,11,11,6159
"Manila",2011,1,11,12,6001
"Manila",2011,1,11,13,5963
"Manila",2011,1,11,14,6134
"Manila",2011,1,11,15,6001
"Manila",2011,1,11,16,5955
"Manila",2011,1,11,17,5930
"Manila",2011,1,11,18,6157
"Manila",2011,1,11,19,6151
"Manila",2011,1,11,20,5924
"Manila",2011,1,11,21,5665
"Manila",2011,1,11,22,5434
"Manila",2011,1,11,23,5037
"Manila",2011,1,11,24,4655
"Manila",2011,1,12,1,4423
"Manila",2011,1,12,2,4327
"Manila",2011,1,12,3,4205
"Manila",2011,1,12,4,4161
"Manila",2011,1,12,5,4381
"Manila",2011,1,12,6,4589
"Manila",2011,1,12,7,4621
"Manila",2011,1,12,8,5104
"Manila",2011,1,12,9,5582
"Manila",2011,1,12,10,6094
"Manila",2011,1,12,11,6239
"Manila",2011,1,12,12,6102
"Manila",2011,1,12,13,6071
"Manila",2011,1,12,14,6243
"Manila",2011,1,12,15,6140
"Manila",2011,1,12,16,6088
"Manila",2011,1,12,17,5952
"Manila",2011,1,12,18,6177
"Manila",2011,1,12,19,6247
"Manila",2011,1,12,20,6073
"Manila",2011,1,12,21,5825
"Manila",2011,1,12,22,5592
"Manila",2011,1,12,23,5124
"Manila",2011,1,12,24,4900
"Manila",2011,1,13,1,4672
"Manila",2011,1,13,2,4540
"Manila",2011,1,13,3,4416
"Manila",2011,1,13,4,4371
"Manila",2011,1,13,5,4568
"Manila",2011,1,13,6,4816
"Manila",2011,1,13,7,4892
"Manila",2011,1,13,8,5167
"Manila",2011,1,13,9,5707
"Manila",2011,1,13,10,6127
"Manila",2011,1,13,11,6385
"Manila",2011,1,13,12,6205
"Manila",2011,1,13,13,6234
"Manila",2011,1,13,14,6461
"Manila",2011,1,13,15,6301
"Manila",2011,1,13,16,6212
"Manila",2011,1,13,17,6040
"Manila",2011,1,13,18,6246
"Manila",2011,1,13,19,6319
"Manila",2011,1,13,20,6135
"Manila",2011,1,13,21,5857
"Manila",2011,1,13,22,5615
"Manila",2011,1,13,23,5161
"Manila",2011,1,13,24,4818
"Manila",2011,1,14,1,4587
"Manila",2011,1,14,2,4432
"Manila",2011,1,14,3,4313
"Manila",2011,1,14,4,4263
"Manila",2011,1,14,5,4461
"Manila",2011,1,14,6,4668
"Manila",2011,1,14,7,4694
"Manila",2011,1,14,8,5136
"Manila",2011,1,14,9,5675
"Manila",2011,1,14,10,6132
"Manila",2011,1,14,11,6352
"Manila",2011,1,14,12,6236
"Manila",2011,1,14,13,6212
"Manila",2011,1,14,14,6384
"Manila",2011,1,14,15,6234
"Manila",2011,1,14,16,6194
"Manila",2011,1,14,17,6018
"Manila",2011,1,14,18,6314
"Manila",2011,1,14,19,6366
"Manila",2011,1,14,20,6168
"Manila",2011,1,14,21,5935
"Manila",2011,1,14,22,5571
"Manila",2011,1,14,23,5294
"Manila",2011,1,14,24,5149
"Manila",2011,1,15,1,4909
"Manila",2011,1,15,2,4755
"Manila",2011,1,15,3,4626
"Manila",2011,1,15,4,4549
"Manila",2011,1,15,5,4580
"Manila",2011,1,15,6,4589
"Manila",2011,1,15,7,4706
"Manila",2011,1,15,8,4872
"Manila",2011,1,15,9,5162
"Manila",2011,1,15,10,5634
"Manila",2011,1,15,11,5955
"Manila",2011,1,15,12,5926
"Manila",2011,1,15,13,5794
"Manila",2011,1,15,14,5937
"Manila",2011,1,15,15,5792
"Manila",2011,1,15,16,5643
"Manila",2011,1,15,17,5570
"Manila",2011,1,15,18,5881
"Manila",2011,1,15,19,6043
"Manila",2011,1,15,20,5792
"Manila",2011,1,15,21,5633
"Manila",2011,1,15,22,5331
"Manila",2011,1,15,23,5127
"Manila",2011,1,15,24,4960
"Manila",2011,1,16,1,4705
"Manila",2011,1,16,2,4513
"Manila",2011,1,16,3,4352
"Manila",2011,1,16,4,4303
"Manila",2011,1,16,5,4272
"Manila",2011,1,16,6,4272
"Manila",2011,1,16,7,4178
"Manila",2011,1,16,8,4305
"Manila",2011,1,16,9,4584
"Manila",2011,1,16,10,4932
"Manila",2011,1,16,11,5060
"Manila",2011,1,16,12,5080
"Manila",2011,1,16,13,4998
"Manila",2011,1,16,14,4916
"Manila",2011,1,16,15,4834
"Manila",2011,1,16,16,4717
"Manila",2011,1,16,17,4639
"Manila",2011,1,16,18,4907
"Manila",2011,1,16,19,5219
"Manila",2011,1,16,20,5116
"Manila",2011,1,16,21,4873
"Manila",2011,1,16,22,4656
"Manila",2011,1,16,23,4472
"Manila",2011,1,16,24,4171
"Manila",2011,1,17,1,4023
"Manila",2011,1,17,2,3939
"Manila",2011,1,17,3,3781
"Manila",2011,1,17,4,3786
"Manila",2011,1,17,5,4040
"Manila",2011,1,17,6,4370
"Manila",2011,1,17,7,4515
"Manila",2011,1,17,8,4939
"Manila",2011,1,17,9,5318
"Manila",2011,1,17,10,5613
"Manila",2011,1,17,11,5903
"Manila",2011,1,17,12,5717
"Manila",2011,1,17,13,5630
"Manila",2011,1,17,14,5765
"Manila",2011,1,17,15,5615
"Manila",2011,1,17,16,5566
"Manila",2011,1,17,17,5550
"Manila",2011,1,17,18,5775
"Manila",2011,1,17,19,5745
"Manila",2011,1,17,20,5604
"Manila",2011,1,17,21,5348
"Manila",2011,1,17,22,4813
"Manila",2011,1,17,23,4395
"Manila",2011,1,17,24,4242
"Manila",2011,1,18,1,3982
"Manila",2011,1,18,2,3874
"Manila",2011,1,18,3,3832
"Manila",2011,1,18,4,3854
"Manila",2011,1,18,5,4016
"Manila",2011,1,18,6,4354
"Manila",2011,1,18,7,4454
"Manila",2011,1,18,8,4864
"Manila",2011,1,18,9,5355
"Manila",2011,1,18,10,5747
"Manila",2011,1,18,11,5920
"Manila",2011,1,18,12,5881
"Manila",2011,1,18,13,5825
"Manila",2011,1,18,14,6034
"Manila",2011,1,18,15,5878
"Manila",2011,1,18,16,5836
"Manila",2011,1,18,17,5662
"Manila",2011,1,18,18,5908
"Manila",2011,1,18,19,6008
"Manila",2011,1,18,20,5766
"Manila",2011,1,18,21,5502
"Manila",2011,1,18,22,5038
"Manila",2011,1,18,23,4819
"Manila",2011,1,18,24,4637
"Manila",2011,1,19,1,4386
"Manila",2011,1,19,2,4290
"Manila",2011,1,19,3,4191
"Manila",2011,1,19,4,4173
"Manila",2011,1,19,5,4206
"Manila",2011,1,19,6,4649
"Manila",2011,1,19,7,4750
"Manila",2011,1,19,8,4955
"Manila",2011,1,19,9,5471
"Manila",2011,1,19,10,5805
"Manila",2011,1,19,11,6016
"Manila",2011,1,19,12,5843
"Manila",2011,1,19,13,5919
"Manila",2011,1,19,14,6095
"Manila",2011,1,19,15,5976
"Manila",2011,1,19,16,5947
"Manila",2011,1,19,17,5868
"Manila",2011,1,19,18,6021
"Manila",2011,1,19,19,6115
"Manila",2011,1,19,20,5925
"Manila",2011,1,19,21,5659
"Manila",2011,1,19,22,5177
"Manila",2011,1,19,23,4790
"Manila",2011,1,19,24,4395
"Manila",2011,1,20,1,4157
"Manila",2011,1,20,2,4222
"Manila",2011,1,20,3,4079
"Manila",2011,1,20,4,4044
"Manila",2011,1,20,5,4230
"Manila",2011,1,20,6,4459
"Manila",2011,1,20,7,4542
"Manila",2011,1,20,8,4786
"Manila",2011,1,20,9,5588
"Manila",2011,1,20,10,6035
"Manila",2011,1,20,11,6385
"Manila",2011,1,20,12,6173
"Manila",2011,1,20,13,6171
"Manila",2011,1,20,14,6435
"Manila",2011,1,20,15,6299
"Manila",2011,1,20,16,6301
"Manila",2011,1,20,17,6130
"Manila",2011,1,20,18,6289
"Manila",2011,1,20,19,6374
"Manila",2011,1,20,20,6119
"Manila",2011,1,20,21,5861
"Manila",2011,1,20,22,5625
"Manila",2011,1,20,23,5351
