,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON01-04-2009 ),Page 1 of 2
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATIVE,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR CRITICAL
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd.,LINKAGE,COAL STOCK
56,RAIL,BARAUNI TPS,320,20,0.7,4,6,*,Inadequate linkage
57,RAIL,MUZAFFARPUR,220,20,1,3,3,*,**,Inadequate linkage
58,PITHEAD,TPS
,KAHALGAON TPS,1840,15,34.7,38,1,*,**,Less Receipt - ECL
JHARKHAND
59,RAIL,PATRATU TPS,840,20,4.5,11,2,*,**,Less Receipt
60,ROAD,TENUGHAT TPS,420,20,5.5,0,0,*,**,Inadequate linkage
61,RAIL,BOKARO `B` TPS,630,20,8.6,182,21
62,RAIL,CHANDRAPURA(DV,750,20,5.7,137,24
,C) TPS
ORISSA
63,PITHEAD,IB VALLEY TPS,420,15,8.6,208,24
64,PITHEAD,TALCHER (OLD),470,15,8.1,167,21
65,PITHEAD,TPS
,TALCHER STPS,3000,15,58.1,247,4,*,Inadequate linkage
WEST BENGAL
66,RAIL,DURGAPUR TPS,340,20,5.2,149,29
67,RAIL,MEJIA TPS,1340,20,21.9,0,0,*,**,Unloading Constraint
68,RAIL,BAKRESWAR TPS,840,25,11.3,280,25
69,RAIL,BANDEL TPS,450,20,5.2,3,1,*,**,Inadequate linkage
70,RAIL,D.P.L. TPS,695,20,9.7,57,6,*,Less receipt - EMTA
71,RAIL,KOLAGHAT TPS,1260,25,19.2,189,10
72,RAIL,SAGARDIGHI TPS,600,20,7.1,27,4,*,**,Unloading Constraint
73,RAIL,SANTALDIH TPS,730,20,7.4,126,17
74,RAIL,BUDGE BUDGE TPS,500,20,7.1,121,17
75,RAIL,NEW COSSIPORE,160,20,1.3,20,15
76,RAIL,TPS
,SOUTHERN REPL.,135,25,2.3,42,18
77,RAIL,TPS
,TITAGARH TPS,240,20,3.6,36,10
78,RAIL,FARAKKA STPS,1600,15,33.9,242,7
TOTAL OF E.R.,17800,18,270.7,2289,8,10,7
ALL INDIA TOTAL,70464.5,22,1109,11298,10,27,17
(*) Critical i.e. stock less than 7 days in,27,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days,17,TPSs
in
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY,( AS ON05-04-2009 ),Page 1 of 2
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIVE,DAILY,ACTUAL,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd. LINKAG,STOCKIN,COAL,CRITICAL COAL STOCK
,POWER,(DAYS),E,DAYS,STOCK
,STATION,IN '000
,<7,<4
,TONNES
NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,61,20
2,RAIL,RAJGHAT TPS,135,25,2.1,107,51
3,RAIL,BADARPUR TPS,705,30,13.4,118,9
HARYANA
4,RAIL,FARIDABAD EXT.,180,25,1.9,19,10
5,RAIL,PANIPAT TPS,1360,25,24.2,116,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR TPS,600,25,9.7,39,4,*,Less receipt-CCL
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920,30,14,35,3,* **,Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440,30,6.3,88,14
9,RAIL,ROPAR TPS,1260,30,20,182,9
182
10,RAIL,KOTA TPS,1045,30,19.5,257,13
11,RAIL,SURATGARH TPS,1250,30,24.4,46,2,* **,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630,15,25.8,270,10
13,RAIL,HARDUAGANJ B,225,25,2.9,8,3,* **,Inadequate linkage
14,RAIL,OBRA TPS,1362,20,14.5,263,18
15,RAIL,PANKI TPS,210,30,3.9,14,3.6,* **,Inadequate linkage
16,RAIL,PARICHHA TPS,640,30,11.3,37,3,* **,Less receipt-CCL BCCL
17,RAIL,DADRI (NCTPP),840,30,14.5,311,21
18,PITHEAD,RIHAND STPS,2000,15,34.5,591,17
19,PITHEAD,SINGRAULI STPS,2000,15,31,696,22
20,RAIL,TANDA TPS,440,25,8.1,218,27
21,RAIL,UNCHAHAR TPS,1050,25,19.4,249,13
TOTAL OF N.R.,18539.5,24,304.5,3725,12,7,5
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500,15,8.7,103,12
23,PITHEAD,KORBA-II,440,15,7.7,49,6,*,Less Receipt - SECL
24,PITHEAD,KORBA-WEST TPS,840,15,11.9,192,16
25,PITHEAD,KORBA STPS,2100,15,31,312,10
26,RAIL,SIPAT STPS,1000,20,15.2,0,0,* **,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870,30,12.3,112,9
28,RAIL,SIKKA REP. TPS,240,30,4.2,29,7
29,RAIL,UKAI TPS,850,30,12.6,74,6,*,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470,30,23.2,61,3,* **,Inadequate linkage
31,RAIL,TORR POWER AEC,390,30,4.2,20,5,*,Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500,15,5.7,106,19
33,RAIL,SANJAY GANDHI TPS,1340,20,17.7,164,9
34,RAIL,SATPURA TPS,1142.5,20,20.3,193,10
35,PITHEAD,VINDHYACHAL STPS,3260,15,50,611,12
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475,25,7.6,12,2,* **,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHA,2340,20,34.5,97,3,* **,Inadequate linkage
,RASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS-,840,20,14.4,63,4.4,*,Less Receipt
39,RAIL,KORADI TPS,1040,25,17.9,33,2,* **,Less Receipt -SECL MCL
40,RAIL,NASIK TPS,880,25,14.4,51,3.5,* **,Inadequate linkage
41,RAIL,PARLI TPS,920,25,14.6,67,5,*,Inadequate linkage
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 05-04-2009 )
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 05-04-2009 ),Page 2 2
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIVE,DAILY,ACTUAL,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd. LINKAG,STOCKIN,COAL,CRITICAL COAL STOCK
,POWER,(DAYS),E,DAYS STOCK
,STATION,IN '000
,<7,<4
,TONNES
,42,RAIL,PARAS TPS,305,20,5.7,57,10
,43,RAIL,DAHANU TPS,500,25,9.4,73,8
,TOTAL OF W.R.,22242.5,21,342.8,2479,7 11,6
,9.402985075
,ANDHRA PRADESH
,44,RAIL,Dr. N.TATA RAO TPS,1260,25,19.8,265,13
,45,RAIL,KOTHAGUDEM TPS,1180,20,19.4,162,8
,46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22,28
,47,RAIL,RAYALASEEMA TPS,840,25,15.3,88,6,*,Inadequate linkage
,48,PITHEAD,RAMAGUNDEM STPS,2600,15,37.9,512,14
,49,RAIL,SIMHADRI,1000,25,18.7,357,19
,KARNATAKA
,50,RAIL,RAICHUR TPS,1470,30,28,477,17
,51,RAIL,BELLARY TPS,500,22,3.2,235,73
,TAMIL NADU
,52,INTER,ENNORE TPS,450,30,7.4,78,11
,53,INTER,METTUR TPS,840,30,13.6,202,15
,54,INTER,NORTH CHENNAI TPS,630,30,10.1,145,14
,55,INTER,TUTICORIN TPS,1050,30,16.9,227,13
,TOTAL OF S.R.,11882.5,24,191.1,2770,14,1,0
,EASTERN
,BIHAR
,56,RAIL,BARAUNI TPS,320,20,0.7,8,11
,57,RAIL,MUZAFFARPUR TPS,220,20,1,4,4,*,Inadequate linkage
,58,PITHEAD,KAHALGAON TPS,1840,15,34.7,26,1,* **,Less Receipt - ECL
,JHARKHAND
,59,RAIL,PATRATU TPS,840,20,4.5,11,2,* **,Less Receipt
,60,ROAD,TENUGHAT TPS,420,20,5.5,0,0,* **,Inadequate linkage
,61,RAIL,BOKARO `B` TPS,630,20,8.6,172,20
,62,RAIL,CHANDRAPURA(DVC),750,20,5.7,147,26
,TPS
,ORISSA
,63,PITHEAD,IB VALLEY TPS,420,15,8.6,219,25
,64,PITHEAD,TALCHER (OLD) TPS,470,15,8.1,155,19
,65,PITHEAD,TALCHER STPS,3000,15,58.1,254,4,*,Inadequate linkage
,WEST BENGAL
,66,RAIL,DURGAPUR TPS,340,20,5.2,153,29
,67,RAIL,MEJIA TPS,1340,20,21.9,0,0,* **,Unloading Constraint
,68,RAIL,BAKRESWAR TPS,840,25,11.3,282,25
,69,RAIL,BANDEL TPS,450,20,5.2,0,0,* **,Inadequate linkage
,70,RAIL,D.P.L. TPS,695,20,9.7,76,8
,71,RAIL,KOLAGHAT TPS,1260,25,19.2,173,9
,72,RAIL,SAGARDIGHI TPS,600,20,7.1,33,5,*,Unloading Constraint
,73,RAIL,SANTALDIH TPS,730,20,7.4,122,16
,74,RAIL,BUDGE BUDGE TPS,500,20,7.1,127,18
,75,RAIL,NEW COSSIPORE TPS,160,20,1.3,20,15
,76,RAIL,SOUTHERN REPL. TPS,135,25,2.3,43,19
,77,RAIL,TITAGARH TPS,240,20,3.6,34,9
,78,RAIL,FARAKKA STPS,1600,15,33.9,244,7
,TOTAL OF E.R.,17800,18,270.7,2303,9,8,5
,ALL INDIA TOTAL,70464.5,22,1109 11277,10 27,16
(*) Critical i.e. stock less than 7 days in,27,TPSs {Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,16,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY,( AS ON07-04-2009 ),Page 1 of 2
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIVE,DAILY,ACTUAL,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd. LINKAG,STOCKIN,COAL,CRITICAL COAL STOCK
,POWER,(DAYS),E,DAYS,STOCK
,STATION,IN '000
,<7,<4
,TONNES
NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,67,22
2,RAIL,RAJGHAT TPS,135,25,2.1,105,50
3,RAIL,BADARPUR TPS,705,30,13.4,137,10
HARYANA
4,RAIL,FARIDABAD EXT.,180,25,1.9,16,8
5,RAIL,PANIPAT TPS,1360,25,24.2,110,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR TPS,600,25,9.7,52,5,*,Less receipt-CCL
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920,30,14,40,3,* **,Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440,30,6.3,77,12
9,RAIL,ROPAR TPS,1260,30,20,196,10
182
10,RAIL,KOTA TPS,1045,30,19.5,265,14
11,RAIL,SURATGARH TPS,1250,30,24.4,42,2,* **,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630,15,25.8,270,10
13,RAIL,HARDUAGANJ B,225,25,2.9,8,3,* **,Inadequate linkage
14,RAIL,OBRA TPS,1362,20,14.5,263,18
15,RAIL,PANKI TPS,210,30,3.9,14,3.6,* **,Inadequate linkage
16,RAIL,PARICHHA TPS,640,30,11.3,37,3,* **,Less receipt-CCL BCCL
17,RAIL,DADRI (NCTPP),840,30,14.5,314,22
18,PITHEAD,RIHAND STPS,2000,15,34.5,588,17
19,PITHEAD,SINGRAULI STPS,2000,15,31,686,22
20,RAIL,TANDA TPS,440,25,8.1,225,28
21,RAIL,UNCHAHAR TPS,1050,25,19.4,250,13
TOTAL OF N.R.,18539.5,24,304.5,3762,12,7,5
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500,15,8.7,106,12
23,PITHEAD,KORBA-II,440,15,7.7,48,6,*,Less Receipt - SECL
24,PITHEAD,KORBA-WEST TPS,840,15,11.9,185,16
25,PITHEAD,KORBA STPS,2100,15,31,314,10
26,RAIL,SIPAT STPS,1000,20,15.2,8,1,* **,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870,30,12.3,114,9
28,RAIL,SIKKA REP. TPS,240,30,4.2,22,5,*
29,RAIL,UKAI TPS,850,30,12.6,69,5,*,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470,30,23.2,57,2,* **,Inadequate linkage
31,RAIL,TORR POWER AEC,390,30,4.2,37,9
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500,15,5.7,105,18
33,RAIL,SANJAY GANDHI TPS,1340,20,17.7,184,10
34,RAIL,SATPURA TPS,1142.5,20,20.3,171,8
35,PITHEAD,VINDHYACHAL STPS,3260,15,50,600,12
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475,25,7.6,16,2,* **,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHA,2340,20,34.5,103,3,* **,Inadequate linkage
,RASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS-,840,20,14.4,64,4,*,Less Receipt
39,RAIL,KORADI TPS,1040,25,17.9,35,2,* **,Less Receipt -SECL MCL
40,RAIL,NASIK TPS,880,25,14.4,64,4,*,Inadequate linkage
41,RAIL,PARLI TPS,920,25,14.6,61,4,*,Inadequate linkage
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 07-04-2009 )
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 07-04-2009 ),Page 2 2
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIVE,DAILY,ACTUAL,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd. LINKAG,STOCKIN,COAL,CRITICAL COAL STOCK
,POWER,(DAYS),E,DAYS STOCK
,STATION,IN '000
,<7,<4
,TONNES
42,RAIL,PARAS TPS,305,20,5.7,54,9
43,RAIL,DAHANU TPS,500,25,9.4,70,7
TOTAL OF W.R.,22242.5,21,342.8,2487,7 11,6
9.402985075
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260,25,19.8,276,14
45,RAIL,KOTHAGUDEM TPS,1180,20,19.4,177,9
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22,28
47,RAIL,RAYALASEEMA TPS,840,25,15.3,85,6,*,Inadequate linkage
48,PITHEAD,RAMAGUNDEM STPS,2600,15,37.9,489,13
49,RAIL,SIMHADRI,1000,25,18.7,358,19
KARNATAKA
50,RAIL,RAICHUR TPS,1470,30,28,465,17
51,RAIL,BELLARY TPS,500,22,3.2,229,72
TAMIL NADU
52,INTER,ENNORE TPS,450,30,7.4,76,10
53,INTER,METTUR TPS,840,30,13.6,206,15
54,INTER,NORTH CHENNAI TPS,630,30,10.1,135,13
55,INTER,TUTICORIN TPS,1050,30,16.9,249,15
TOTAL OF S.R.,11882.5,24,191.1,2767,14,1,0
EASTERN
BIHAR
56,RAIL,BARAUNI TPS,320,20,0.7,8,11
57,RAIL,MUZAFFARPUR TPS,220,20,1,6,6,*,Inadequate linkage
58,PITHEAD,KAHALGAON TPS,1840,15,34.7,26,1,* **,Less Receipt - ECL
JHARKHAND
59,RAIL,PATRATU TPS,840,20,4.5,11,2,* **,Less Receipt
60,ROAD,TENUGHAT TPS,420,20,5.5,0,0,* **,Inadequate linkage
61,RAIL,BOKARO `B` TPS,630,20,8.6,168,20
62,RAIL,CHANDRAPURA(DVC),750,20,5.7,149,26
,TPS
ORISSA
63,PITHEAD,IB VALLEY TPS,420,15,8.6,224,26
64,PITHEAD,TALCHER (OLD) TPS,470,15,8.1,153,19
65,PITHEAD,TALCHER STPS,3000,15,58.1,249,4,*,Inadequate linkage
WEST BENGAL
66,RAIL,DURGAPUR TPS,340,20,5.2,158,30
67,RAIL,MEJIA TPS,1340,20,21.9,0,0,* **,Unloading Constraint
68,RAIL,BAKRESWAR TPS,840,25,11.3,274,24
69,RAIL,BANDEL TPS,450,20,5.2,1,0,* **,Inadequate linkage
70,RAIL,D.P.L. TPS,695,20,9.7,69,7
71,RAIL,KOLAGHAT TPS,1260,25,19.2,167,9
72,RAIL,SAGARDIGHI TPS,600,20,7.1,36,5,*,Unloading Constraint
73,RAIL,SANTALDIH TPS,730,20,7.4,110,15
74,RAIL,BUDGE BUDGE TPS,500,20,7.1,131,18
75,RAIL,NEW COSSIPORE TPS,160,20,1.3,16,12
76,RAIL,SOUTHERN REPL. TPS,135,25,2.3,36,16
77,RAIL,TITAGARH TPS,240,20,3.6,37,10
78,RAIL,FARAKKA STPS,1600,15,33.9,261,8
TOTAL OF E.R.,17800,18,270.7,2290,8,8,5
ALL INDIA TOTAL,70464.5,22,1109 11306,10 27,16
(*) Critical i.e. stock less than 7 days in,27,TPSs {Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,16,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 12-Apr-2009 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.2,67,21
2,RAIL,RAJGHAT TPS,135.0,25,2.2,95,44
3,RAIL,BADARPUR TPS,705.0,30,13.8,152,11
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.0,12,6,*,Less Receipt - CCL
5,RAIL,PANIPAT TPS,1360.0,25,25.0,129,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR TPS,600.0,25,10.0,42,4,*,Less Receipt - CCL
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,14.5,62,4,*,Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,6.5,73,11
9,RAIL,ROPAR TPS,1260.0,30,20.7,224,11
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,20.2,261,13
11,RAIL,SURATGARH TPS,1250.0,30,25.2,43,2,*,** Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,26.7,255,10
13,RAIL,HARDUAGANJ B,225.0,25,3.0,7,2,*,** Inadequate linkage
14,RAIL,OBRA TPS,0.0,20,15.0,274,18
15,RAIL,PANKI TPS,210.0,30,4.0,14,4,*,Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,11.7,18,2,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,15.0,338,23
18,PITHEAD,RIHAND STPS,2000.0,15,35.7,604,17
19,PITHEAD,SINGRAULI STPS,2000.0,15,32.0,672,21
20,RAIL,TANDA TPS,440.0,25,8.3,228,27
21,RAIL,UNCHAHAR TPS,1050.0,25,20.0,265,13
TOTAL OF N.R.,17177.5,24,314.7,3835,12,8,3
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.0,109,12
23,PITHEAD,KORBA-II,440.0,15,8.0,50,6,*,Less Receipt - SECL
24,PITHEAD,KORBA-WEST TPS,840.0,15,12.3,173,14
25,PITHEAD,KORBA STPS,2100.0,15,32.0,315,10
26,RAIL,SIPAT STPS,1000.0,20,15.7,19,1,*,** Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,12.7,111,9
28,RAIL,SIKKA REP. TPS,240.0,30,4.3,18,4,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,13.0,73,6,*,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470.0,30,24.0,43,2,*,** Inadequate linkage
31,RAIL,TORR POWER AEC,390.0,30,4.3,31,7
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,450.0,15,5.8,95,16
33,RAIL,SANJAY GANDHI TPS,1340.0,20,18.3,170,9
34,RAIL,SATPURA TPS,1142.5,20,21.0,180,9
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,51.7,637,12
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,7.8,16,2,*,** Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,35.7,107,3,*,** Inadequate linkage
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,14.8,52,4,*,Less Receipt
39,RAIL,KORADI TPS,1040.0,25,18.5,30,2,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,14.5,69,5,*,Inadequate linkage
41,RAIL,PARLI TPS,670.0,25,15.1,65,4,*,Inadequate linkage
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 12-Apr-2009 ),Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

42,RAIL,PARAS TPS,305.0,20,5.8,52,9
43,RAIL,DAHANU TPS,500.0,25,9.7,70,7
TOTAL OF W.R.,21942.5,21,354.0,2485,7,11,5
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260.0,25,20.5,304,15
45,RAIL,KOTHAGUDEM TPS,1180.0,20,20.0,186,9
46,ROAD,RAMAGUNDEM - B TPS,62.5,20,0.8,22,26
47,RAIL,RAYALASEEMA TPS,840.0,25,15.8,117,7
