,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,01-Oct-,)
,REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
36,RAIL,BHUSAWAL,475.0,25,7.1,32.92,5,*
37,RAIL,CHANDRAPUR,2340.0,20,36.6,83.09,2,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,16.1,28.30,2,*,**
39,RAIL,KORADI,1040.0,25,16.3,81.90,5,*
40,RAIL,NASIK,880.0,25,12.9,18.24,1,*,**
41,RAIL,PARLI,920.0,25,14.5,76.52,5,*
42,RAIL,PARAS,305.0,20,6.0,123.81,21
43,RAIL,DAHANU,500.0,25,9.7,84.52,9
TOTAL OF THE REGION,22252.5,41.23,328.4,2655.9,8,10,5
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,02-Oct-,)
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,21.32,1,*,**
45,RAIL,KOTHAGUDEM,1180.0,20,13.5,91.49,7
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22.81,28
47,RAIL,RAYALASEEMA,840.0,25,12.9,28.10,2,*,**
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.6,96.44,3,*,**
49,RAIL,SIMHADRI,1000.0,25,16.1,15.89,1,*,**
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,27.4,112.69,4,*
TAMIL NADU
51,INTER MODAL,ENNORE,450.0,30,7.1,24.74,3,*,**
52,INTER MODAL,METTUR,840.0,30,13.4,44.06,3,*,**
53,INTER MODAL,NORTH CHENNAI,630.0,30,9.8,85.77,9
54,INTER MODAL,TUTICORIN,1050.0,30,17.4,102.84,6,*
TOTAL OF THE REGION,11382.5,101.54,175.4,646.16,4,8,6
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.1,18.20,16
56,RAIL,MUZAFFARPUR,220.0,20,1.0,27.36,28
57,PITHEAD,KAHALGAON,1840.0,15,28.5,24.36,1,*,**
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,8.1,27.49,3,*,**
59,PITHEAD,TALCHER,470.0,15,6.5,63.29,10
60,PITHEAD,TALCHER STPS,3000.0,15,54.8,61.44,1,*,**
JHARKHAND
61,RAIL,PATRATU,840.0,20,5.5,20.93,4,*
62,ROAD,TENUGHAT,420.0,20,4.8,8.84,2,*,**
63,RAIL,BOKARO B,630.0,20,8.7,112.55,13
64,RAIL,CHANDRAPURA,750.0,20,5.8,86.26,15
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,4.8,23.24,5,*
66,RAIL,MEJIA,1340.0,20,21.3,15.73,1,*,**
67,RAIL,BAKRESWAR,840.0,25,12.9,35.53,3,*,**
68,RAIL,BANDEL,450.0,20,4.8,7.33,2,*,**
69,RAIL,D.P.L.,695.0,20,10.3,43.84,4,*
70,RAIL,KOLAGHAT,1260.0,25,18.7,32.70,2,*,**
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,32.81,5,*
72,RAIL,SANTALDIH,730.0,20,7.4,37.65,5,*
73,RAIL,BUDGE BUDGE,500.0,20,7.1,31.07,4,*
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,4.24,3,*,**
75,RAIL,SOUTHERN REPL.,135.0,25,2.3,17.64,8
76,RAIL,TITAGARH,240.0,20,3.6,16.76,5,*
77,PITHEAD,FARAKKA STPS,1600.0,15,26.7,5.01,0,*,**
TOTAL OF THE REGION,17800.0,88.63,252.5,754.27,3,17,10
NORTH EASTERN
ASSAM
79,RAIL,BONGAIGAON,-1.0,0,0.0,0.00
TOTAL OF THE REGION,-1.0,0.00,0.0,0.00,0,0,0
ALL INDIA TOTAL,70093.5,1750,1036,5222.9,5,49,29

(*) Critical i.e. stock less than 7 days in,49,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,29,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,03-Oct-,)
,REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.2,53.20,16
2,RAIL,RAJGHAT,135.0,25,2.1,34.82,17
3,RAIL,BADARPUR,705.0,30,12.3,61.12,5,*
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.6,35.97,14
5,RAIL,PANIPAT,1360.0,25,23.9,67.45,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,9.7,22.23,2,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,11.6,146.58,13
8,RAIL,GNDTP(BHATINDA),440.0,30,6.5,28.54,4,*
9,RAIL,ROPAR,1260.0,30,19.4,122.99,6,*
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.0,130.35,7
11,RAIL,SURATGARH,1250.0,30,19.7,76.54,4,*
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,24.2,51.21,2,*,**
13,RAIL,HARDUAGANJ B,225.0,25,2.9,41.99,14
14,RAIL,OBRA,1482.0,20,12.9,34.92,3,*,**
15,RAIL,PANKI,210.0,30,3.2,7.93,2,*,**
16,RAIL,PARICHHA,640.0,30,10.0,52.40,5,*
17,RAIL,DADRI (NCTPP),840.0,30,12.9,136.80,11
18,PITHEAD,RIHAND STPS,2000.0,15,29.0,6.19,0,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,29.0,14.37,0,*,**
20,RAIL,TANDA,440.0,25,6.1,22.12,4,*
21,RAIL,UNCHAHAR,1050.0,25,19.4,17.34,1,*,**
TOTAL OF THE REGION,18659.5,23.82,279.6,1165.0,4,14,8
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,43.26,5,*
23,PITHEAD,KORBA-II,440.0,15,8.1,60.55,8
24,PITHEAD,KORBA-WEST,840.0,15,11.3,347.16,31
25,PITHEAD,KORBA STPS,2100.0,15,28.1,708.85,25
26,RAIL,SIPAT STPS,1000.0,20,6.8,77.67,11
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.3,138.80,11
28,RAIL,SIKKA REP.,240.0,30,3.2,84.98,26
29,RAIL,UKAI,850.0,30,9.7,109.51,11
30,RAIL,WANAKBORI,1470.0,30,22.6,149.96,7
31,RAIL,TORR POWER AEC,390.0,30,5.5,17.94,3,*,**
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,5.7,106.34,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,61.55,3,*,**
34,PITHEAD,SATPURA,1142.5,20,21.0,167.94,8
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,45.2,44.84,1,*,**
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.1,32.54,5,*
37,RAIL,CHANDRAPUR,2340.0,20,36.6,90.41,2,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,16.1,25.06,2,*,**
39,RAIL,KORADI,1040.0,25,16.3,75.24,5,*
40,RAIL,NASIK,880.0,25,12.9,12.61,1,*,**
41,RAIL,PARLI,920.0,25,14.5,69.58,5,*
42,RAIL,PARAS,305.0,20,6.0,127.31,21
43,RAIL,DAHANU,500.0,25,9.7,84.66,9
TOTAL OF THE REGION,22252.5,41.23,328.4,2636.7,8,10,6
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,03-Oct-,)
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,24.09,1,*,**
45,RAIL,KOTHAGUDEM,1180.0,20,13.5,88.60,7
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22.43,28
47,RAIL,RAYALASEEMA,840.0,25,12.9,38.03,3,*,**
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.6,96.71,3,*,**
49,RAIL,SIMHADRI,1000.0,25,16.1,11.65,1,*,**
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,27.4,112.69,4,*
TAMIL NADU
51,INTER MODAL,ENNORE,450.0,30,7.1,21.39,3,*,**
52,INTER MODAL,METTUR,840.0,30,13.4,51.46,4,*
53,INTER MODAL,NORTH CHENNAI,630.0,30,9.8,100.66,10
54,INTER MODAL,TUTICORIN,1050.0,30,17.4,94.30,5,*
TOTAL OF THE REGION,11382.5,101.54,175.4,662.01,4,8,5
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.1,18.20,16
56,RAIL,MUZAFFARPUR,220.0,20,1.0,27.36,28
57,PITHEAD,KAHALGAON,1840.0,15,28.5,16.82,1,*,**
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,8.1,27.49,3,*,**
59,PITHEAD,TALCHER,470.0,15,6.5,61.20,9
60,PITHEAD,TALCHER STPS,3000.0,15,54.8,56.38,1,*,**
JHARKHAND
61,RAIL,PATRATU,840.0,20,5.5,22.10,4,*
62,ROAD,TENUGHAT,420.0,20,4.8,7.92,2,*,**
63,RAIL,BOKARO B,630.0,20,8.7,112.55,13
64,RAIL,CHANDRAPURA,750.0,20,5.8,86.26,15
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,4.8,23.24,5,*
66,RAIL,MEJIA,1340.0,20,21.3,15.73,1,*,**
67,RAIL,BAKRESWAR,840.0,25,12.9,29.47,2,*,**
68,RAIL,BANDEL,450.0,20,4.8,2.56,1,*,**
69,RAIL,D.P.L.,695.0,20,10.3,42.89,4,*
70,RAIL,KOLAGHAT,1260.0,25,18.7,43.70,2,*,**
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,32.38,5,*
72,RAIL,SANTALDIH,730.0,20,7.4,37.93,5,*
73,RAIL,BUDGE BUDGE,500.0,20,7.1,31.07,4,*
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,4.24,3,*,**
75,RAIL,SOUTHERN REPL.,135.0,25,2.3,17.64,8
76,RAIL,TITAGARH,240.0,20,3.6,16.76,5,*
77,PITHEAD,FARAKKA STPS,1600.0,15,26.7,7.98,0,*,**
TOTAL OF THE REGION,17800.0,88.63,252.5,741.85,3,17,10
NORTH EASTERN
ASSAM
79,RAIL,BONGAIGAON,-1.0,0,0.0,0.00
TOTAL OF THE REGION,-1.0,0.00,0.0,0.00,0,0,0
ALL INDIA TOTAL,70093.5,1750,1036,5205.6,5,49,29

(*) Critical i.e. stock less than 7 days in,49,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,29,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,04-Oct-,)
,REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.2,54.28,17
2,RAIL,RAJGHAT,135.0,25,2.1,36.50,17
3,RAIL,BADARPUR,705.0,30,12.3,53.87,4,*
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.6,36.85,14
5,RAIL,PANIPAT,1360.0,25,23.9,67.45,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,9.7,19.55,2,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,11.6,140.53,12
8,RAIL,GNDTP(BHATINDA),440.0,30,6.5,25.14,4,*
9,RAIL,ROPAR,1260.0,30,19.4,122.99,6,*
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.0,130.35,7
11,RAIL,SURATGARH,1250.0,30,19.7,78.09,4,*
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,24.2,47.20,2,*,**
13,RAIL,HARDUAGANJ B,225.0,25,2.9,40.86,14
14,RAIL,OBRA,1482.0,20,12.9,34.73,3,*,**
15,RAIL,PANKI,210.0,30,3.2,9.28,3,*,**
16,RAIL,PARICHHA,640.0,30,10.0,46.51,5,*
17,RAIL,DADRI (NCTPP),840.0,30,12.9,133.82,10
18,PITHEAD,RIHAND STPS,2000.0,15,29.0,6.67,0,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,29.0,12.94,0,*,**
20,RAIL,TANDA,440.0,25,6.1,25.09,4,*
21,RAIL,UNCHAHAR,1050.0,25,19.4,18.41,1,*,**
TOTAL OF THE REGION,18659.5,23.82,279.6,1141.1,4,14,8
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,43.26,5,*
23,PITHEAD,KORBA-II,440.0,15,8.1,60.55,8
24,PITHEAD,KORBA-WEST,840.0,15,11.3,347.16,31
25,PITHEAD,KORBA STPS,2100.0,15,28.1,716.31,26
26,RAIL,SIPAT STPS,1000.0,20,6.8,77.15,11
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.3,144.82,12
28,RAIL,SIKKA REP.,240.0,30,3.2,86.68,27
29,RAIL,UKAI,850.0,30,9.7,113.60,12
30,RAIL,WANAKBORI,1470.0,30,22.6,147.74,7
31,RAIL,TORR POWER AEC,390.0,30,5.5,19.40,4,*
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,5.7,106.17,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,67.64,3,*,**
34,PITHEAD,SATPURA,1142.5,20,21.0,156.25,7
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,45.2,44.19,1,*,**
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.1,27.81,4,*
37,RAIL,CHANDRAPUR,2340.0,20,36.6,86.65,2,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,16.1,29.00,2,*,**
39,RAIL,KORADI,1040.0,25,16.3,74.34,5,*
40,RAIL,NASIK,880.0,25,12.9,11.52,1,*,**
41,RAIL,PARLI,920.0,25,14.5,70.07,5,*
42,RAIL,PARAS,305.0,20,6.0,125.23,21
43,RAIL,DAHANU,500.0,25,9.7,80.93,8
TOTAL OF THE REGION,22252.5,41.23,328.4,2636.4,8,10,5
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,04-Oct-,)
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,11.41,1,*,**
45,RAIL,KOTHAGUDEM,1180.0,20,13.5,86.45,6,*
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22.25,28
47,RAIL,RAYALASEEMA,840.0,25,12.9,17.36,1,*,**
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.6,98.90,3,*,**
49,RAIL,SIMHADRI,1000.0,25,16.1,7.96,0,*,**
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,27.4,117.36,4,*
TAMIL NADU
51,INTER MODAL,ENNORE,450.0,30,7.1,22.99,3,*,**
52,INTER MODAL,METTUR,840.0,30,13.4,50.88,4,*
53,INTER MODAL,NORTH CHENNAI,630.0,30,9.8,93.97,10
54,INTER MODAL,TUTICORIN,1050.0,30,17.4,88.40,5,*
