,No.CEA/Plg/OM/1/42/2008
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION


,******* DAILY COAL REPORT

COAL STOCK POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY AS ON 3.8.2008
REGION /,SL. MODE NAME OF,CAPACITY NORMATIVE DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER IN MW,STOCK Reqd. AGE IN '000 IN 000,IN COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
,68 RAIL BANDEL,450,20,5.0,3,1,*,**,Less receipt-ECL
,69 RAIL DURGAPUR (DPL),695,20,10.7,67,6,*
,70 RAIL KOLAGHAT,1260,25,19.3,41,2,*,**,Less receipt
,71 RAIL SAGARDIGHI,300,20,6.7,100,15
,72 RAIL SANTALDIH,730,20,7.7,38,5,*,Less receipt-ECL
,73 RAIL BUDGE BUDGE,500,20,7.3,62,8
,74 RAIL NEW COSSIPORE,160,20,1.3,5,4,*,Less receipt-ECL
,75 RAIL SOUTHERN REPL,135,25,2.3,21,9
,76 RAIL TITAGARH,240,20,3.7,14,4,*,Less receipt
,77 P.H.,FARAKKA STPS($),1600,15,27.6,23,1,*,**,Less receipt-ECL
TOTAL OF THE REGION,17500,18,261,1230,5,15,10
ALL INDIA TOTAL,68950,22,1069.9,6290,6,42,23
($) = NTPC,I.M. = INTER MODAL,P.H. = PITHEAD
(*) Critical i.e. stock < 7 days in,42,TPSs,(Includes super critical also)
(**) Super Critical i.e.stock < 4 days in,23,TPSs




siyaram/8/5/2008,2
,No.CEA/Plg/OM/1/42/2008
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION


,******* DAILY COAL REPORT

COAL STOCK POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY AS ON 4.8.2008
REGION /,SL. MODE NAME OF,CAPACITY NORMATIVE DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER IN MW,STOCK Reqd. AGE IN '000 IN 000,IN COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
NORTHEN REGION
DELHI,1 RAIL I.P. STATION,248,25,3.3,9,3,*,**,Less receipt-NCL
,2 RAIL RAJGHAT,135,25,2.2,24,11
,3 RAIL BADARPUR($),720,30,12.7,61,5,*,Less receipt -CCL
HARYANA,4 RAIL FARIDABAD EXT,180,25,2.7,52,20
,5 RAIL PANIPAT,1360,25,24.7,131,5,*,Less receipt-CCL BCCL
,6 RAIL YAMUNA NAGAR,600,25,10.0,33,3,*,**,Less receipt -CCL
PUNJAB,7 RAIL GHTP(LEH.MOH.),670,30,12.0,51,4,*,Less receipt -CCL
,8 RAIL GNDTP(BATHINDA),440,30,6.7,60,9
,9 RAIL ROPAR,1260,30,20.0,267,13
RAJASTHAN,10 RAIL KOTA,1045,30,19.7,260,13
,11 RAIL SURATGARH,1250,30,20.3,183,9
U . P.,12 P.H.,ANPARA,1630,15,25.0,44,2,*,**,Less receipt-NCL
,13 RAIL HARDUAGANJ"B",325,25,3.0,22,7
,14 RAIL OBRA,1482,20,13.3,82,6,*,Less receipt-CCL NCL
,15 RAIL PANKI,210,30,3.3,26,8
,16 RAIL PARICHHA,640,30,10.3,153,15
,17 RAIL DADRI(NCPP)($),840,30,13.3,72,5,*,Less receipt -CCL
,18 P.H.,RIHAND STPS($),2000,15,30.0,24,1,*,**,Less receipt-NCL
,19 P.H.,SINGRAULI STPS($),2000,15,30.0,0,0,*,**,Linkage < Demand
,20 RAIL TANDA($),440,25,6.3,8,1,*,**,Less receipt -CCL
,21 RAIL UNCHAHAR($),1050,25,20.0,58,3,*,**,Less receipt-CCL BCCL
TOTAL OF THE REGION,18525,24,288.8,1620,6,12,7
WESTERN REGION
CHHATTISGARH,22 RAIL KORBA EAST V,500,15,9.0,61,7
,23 P.H.,KORBA (East),440,15,8.3,126,15
,24 P.H.,KORBA WEST,840,15,11.7,200,17
,25 P.H.,KORBA STPS($),2100,15,29.0,522,18
,26 P.H.,SIPAT STPS,500,15,7.0,112,16
GUJARAT,27 RAIL GANDHI NAGAR,870,30,12.7,84,7
,28 RAIL SIKKA REP,240,30,3.3,49,15
,29 RAIL UKAI,850,30,10.0,166,17
,30 RAIL WANAKBORI,1470,30,23.3,228,10
,31 RAIL TORR POWER,390,30,5.7,26,5,*,Less receipt-SECL
M. P.,32 P.H.,AMARKANTAK,300,15,5.8,67,11
,33 RAIL SANJAY GANDHI,1340,20,21.7,115,5,*,Less receipt-SECL
,34 P.H.,SATPURA,1143,20,21.7,147,7
,35 P.H.,VINDHYACHAL STP(,3260,15,46.7,96,2,*,**,Less receipt-CCL NCL
MAHARASHTRA 36 RAIL BHUSAWAL,475,25,7.3,27,4,*,Linkage < Demand
,37 RAIL CHANDRAPUR,2340,20,37.8,185,5,*,Unloading Constraint
,38 RAIL KHAPARKHEDA II,840,20,16.7,66,4,*,Less receipt
,39 RAIL KORADIH,1040,25,16.8,179,11
,40 RAIL NASIK,880,25,13.3,74,6,*,Less receipt
,41 RAIL PARLI,920,25,15.0,104,7
,42 RAIL PARAS,305,20,6.2,97,16
,43 RAIL DAHANU,500,25,10.0,57,6,*,Less receipt-SECL
TOTAL OF THE REGION,21543,21,339.0,2788,8,8,1
siyaram/8/6/2008,1
REGION /,SL. MODE,NAME OF,CAPACITY,NORMATIVE,DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER,IN MW,STOCK Reqd. AGE IN '000,IN 000,IN,COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
SOUTHERN REGION
A. P.,44 RAIL Dr. N. TATA RAO,1260,25,20.0,27,1,*,**,Less receipt-SCCL
,45 RAIL KOTHAGUDEM,1180,20,13.9,33,2,*,**,Linkage < Demand
,46 ROAD RAMAGUNDEM"B",63,20,0.8,26,31
,47 RAIL RAYALASEEMA,840,25,13.3,0,0,*,**,Less receipt
,48 P.H.,RAMAGUNDAM($),2600,15,38.8,5,0,*,**,Linkage < Demand
,49 RAIL SIMHADRI($),1000,25,16.7,61,4,*,Less receipt
KARNATAKA,50 RAIL RAICHUR,1470,30,28.3,73,3,*,**,Less receipt
TAMIL NADU,51 I.M.,ENNORE,450,30,7.3,36,5,*,Less receipt- MCL,ECL
,52 I.M.,METTUR,840,30,13.8,131,9
,53 I.M.,NORTH CHENNAI,630,30,10.2,106,10
,54 I.M.,TUTICORIN,1050,30,18.0,115,6,*,Less receipt- MCL,ECL
TOTAL OF THE REGION,11383,25,181.2,613,3,8,5
EASTERN REGION
BIHAR,55 RAIL BARAUNI,320,20,1.2,18,15
,56 RAIL MUZAFFARPUR,220,20,1.0,0
,57 P.H.,KAHALGAON($),1840,15,29.4,12,0,*,**,Less receipt-ECL
ORISSA,58 P.H.,IB VALLEY TPS,420,15,8.3,17,2,*,**,Less receipt-MCL Ib
,59 P.H.,TALCHER TPS($),470,15,6.7,140,21
,60 P.H.,TALCHER STPS($),3000,15,56.7,37,1,*,**,Linkage < Demand
JHARKHAND,61 RAIL PATRATU,840,20,5.7,7,1,*,**,Less receipt-CCL
,62 ROAD TENUGHAT,420,20,5.0,19,4,*,Less receipt-CCL
,63 RAIL BOKARO"B" (DVC),630,20,9.0,295,33
,64 RAIL CHANDRAPURA(DVC,750,20,6.0,165,28
WEST BENGAL 65 RAIL DURGAPUR (DVC),340,20,5.0,0,0,*,**,Less receipt-BCCL
,66 RAIL MEJIA,(DVC),1340,20,22.0,42,2,*,**,Unloading Constraint
,67 RAIL BAKRESHWAR,840,25,13.3,37,3,*,**,Less receipt-ECL
,68 RAIL BANDEL,450,20,5.0,1,0,*,**,Less receipt-ECL
,69 RAIL DURGAPUR (DPL),695,20,10.7,69,6,*
,70 RAIL KOLAGHAT,1260,25,19.3,46,2,*,**,Less receipt
,71 RAIL SAGARDIGHI,300,20,6.7,107,16
,72 RAIL SANTALDIH,730,20,7.7,35,5,*,Less receipt-ECL
,73 RAIL BUDGE BUDGE,500,20,7.3,58,8
,74 RAIL NEW COSSIPORE,160,20,1.3,8,6,*,Less receipt-ECL
,75 RAIL SOUTHERN REPL,135,25,2.3,22,9
,76 RAIL TITAGARH,240,20,3.7,14,4,*,Less receipt
,77 P.H.,FARAKKA STPS($),1600,15,27.6,25,1,*,**,Less receipt-ECL
TOTAL OF THE REGION,17500,18,261,1174,5,15,10
ALL INDIA TOTAL,68950,22,1069.9,6195,6,43,23
($) = NTPC,I.M. = INTER MODAL,P.H. = PITHEAD
(*) Critical i.e. stock < 7 days in,43,TPSs,(Includes super critical also)
(**) Super Critical i.e.stock < 4 days in,23,TPSs




siyaram/8/6/2008,2
,No.CEA/Plg/OM/1/42/2008
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION


,******* DAILY COAL REPORT

COAL STOCK POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY AS ON 5.8.2008
REGION /,SL. MODE NAME OF,CAPACITY NORMATIVE DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER IN MW,STOCK Reqd. AGE IN '000 IN 000,IN COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
NORTHEN REGION
DELHI,1 RAIL I.P. STATION,248,25,3.3,9,3,*,**,Less receipt-NCL
,2 RAIL RAJGHAT,135,25,2.2,23,11
,3 RAIL BADARPUR($),720,30,12.7,58,5,*,Less receipt -CCL
HARYANA,4 RAIL FARIDABAD EXT,180,25,2.7,54,20
,5 RAIL PANIPAT,1360,25,24.7,129,5,*,Less receipt-CCL BCCL
,6 RAIL YAMUNA NAGAR,600,25,10.0,29,3,*,**,Less receipt -CCL
PUNJAB,7 RAIL GHTP(LEH.MOH.),670,30,12.0,58,5,*,Less receipt -CCL
,8 RAIL GNDTP(BATHINDA),440,30,6.7,61,9
,9 RAIL ROPAR,1260,30,20.0,272,14
RAJASTHAN,10 RAIL KOTA,1045,30,19.7,254,13
,11 RAIL SURATGARH,1250,30,20.3,185,9
U . P.,12 P.H.,ANPARA,1630,15,25.0,43,2,*,**,Less receipt-NCL
,13 RAIL HARDUAGANJ"B",325,25,3.0,21,7
,14 RAIL OBRA,1482,20,13.3,81,6,*,Less receipt-CCL NCL
,15 RAIL PANKI,210,30,3.3,28,8
,16 RAIL PARICHHA,640,30,10.3,146,14
,17 RAIL DADRI(NCPP)($),840,30,13.3,81,6,*,Less receipt -CCL
,18 P.H.,RIHAND STPS($),2000,15,30.0,32,1,*,**,Less receipt-NCL
,19 P.H.,SINGRAULI STPS($),2000,15,30.0,0,0,*,**,Linkage < Demand
,20 RAIL TANDA($),440,25,6.3,7,1,*,**,Less receipt -CCL
,21 RAIL UNCHAHAR($),1050,25,20.0,62,3,*,**,Less receipt-CCL BCCL
TOTAL OF THE REGION,18525,24,288.8,1633,6,12,7
WESTERN REGION
CHHATTISGARH,22 RAIL KORBA EAST V,500,15,9.0,60,7
,23 P.H.,KORBA (East),440,15,8.3,125,15
,24 P.H.,KORBA WEST,840,15,11.7,206,18
,25 P.H.,KORBA STPS($),2100,15,29.0,529,18
,26 P.H.,SIPAT STPS,500,15,7.0,111,16
GUJARAT,27 RAIL GANDHI NAGAR,870,30,12.7,79,6,*,Less receipt-SECL
,28 RAIL SIKKA REP,240,30,3.3,47,14
,29 RAIL UKAI,850,30,10.0,162,16
,30 RAIL WANAKBORI,1470,30,23.3,221,9
,31 RAIL TORR POWER,390,30,5.7,20,4,*,Less receipt-SECL
M. P.,32 P.H.,AMARKANTAK,300,15,5.8,68,12
,33 RAIL SANJAY GANDHI,1340,20,21.7,119,5,*,Less receipt-SECL
,34 P.H.,SATPURA,1143,20,21.7,143,7
,35 P.H.,VINDHYACHAL STP(,3260,15,46.7,90,2,*,**,Less receipt-CCL NCL
MAHARASHTRA 36 RAIL BHUSAWAL,475,25,7.3,27,4,*,Linkage < Demand
,37 RAIL CHANDRAPUR,2340,20,37.8,194,5,*,Unloading Constraint
,38 RAIL KHAPARKHEDA II,840,20,16.7,67,4,*,Less receipt
,39 RAIL KORADIH,1040,25,16.8,180,11
,40 RAIL NASIK,880,25,13.3,68,5,*,Less receipt
,41 RAIL PARLI,920,25,15.0,105,7
,42 RAIL PARAS,305,20,6.2,99,16
,43 RAIL DAHANU,500,25,10.0,57,6,*,Less receipt-SECL
TOTAL OF THE REGION,21543,21,339.0,2777,8,9,1
siyaram/8/7/2008,1
REGION /,SL. MODE,NAME OF,CAPACITY,NORMATIVE,DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER,IN MW,STOCK Reqd. AGE IN '000,IN 000,IN,COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
SOUTHERN REGION
A. P.,44 RAIL Dr. N. TATA RAO,1260,25,20.0,24,1,*,**,Less receipt-SCCL
,45 RAIL KOTHAGUDEM,1180,20,13.9,30,2,*,**,Linkage < Demand
,46 ROAD RAMAGUNDEM"B",63,20,0.8,28,34
,47 RAIL RAYALASEEMA,840,25,13.3,0,0,*,**,Less receipt
,48 P.H.,RAMAGUNDAM($),2600,15,38.8,6,0,*,**,Linkage < Demand
,49 RAIL SIMHADRI($),1000,25,16.7,60,4,*,Less receipt
KARNATAKA,50 RAIL RAICHUR,1470,30,28.3,77,3,*,**,Less receipt
TAMIL NADU,51 I.M.,ENNORE,450,30,7.3,38,5,*,Less receipt- MCL,ECL
,52 I.M.,METTUR,840,30,13.8,136,10
,53 I.M.,NORTH CHENNAI,630,30,10.2,127,12
,54 I.M.,TUTICORIN,1050,30,18.0,113,6,*,Less receipt- MCL,ECL
TOTAL OF THE REGION,11383,25,181.2,639,4,8,5
EASTERN REGION
BIHAR,55 RAIL BARAUNI,320,20,1.2,18,15
,56 RAIL MUZAFFARPUR,220,20,1.0,0
,57 P.H.,KAHALGAON($),1840,15,29.4,1,0,*,**,Less receipt-ECL
ORISSA,58 P.H.,IB VALLEY TPS,420,15,8.3,16,2,*,**,Less receipt-MCL Ib
,59 P.H.,TALCHER TPS($),470,15,6.7,142,21
,60 P.H.,TALCHER STPS($),3000,15,56.7,44,1,*,**,Linkage < Demand
JHARKHAND,61 RAIL PATRATU,840,20,5.7,11,2,*,**,Less receipt-CCL
,62 ROAD TENUGHAT,420,20,5.0,16,3,*,**,Less receipt-CCL
,63 RAIL BOKARO"B" (DVC),630,20,9.0,293,33
,64 RAIL CHANDRAPURA(DVC,750,20,6.0,164,27
WEST BENGAL 65 RAIL DURGAPUR (DVC),340,20,5.0,0,0,*,**,Less receipt-BCCL
,66 RAIL MEJIA,(DVC),1340,20,22.0,42,2,*,**,Unloading Constraint
,67 RAIL BAKRESHWAR,840,25,13.3,37,3,*,**,Less receipt-ECL
,68 RAIL BANDEL,450,20,5.0,0,0,*,**,Less receipt-ECL
,69 RAIL DURGAPUR (DPL),695,20,10.7,65,6,*,Less receipt- MCL,ECL
,70 RAIL KOLAGHAT,1260,25,19.3,44,2,*,**,Less receipt
,71 RAIL SAGARDIGHI,300,20,6.7,110,17
,72 RAIL SANTALDIH,730,20,7.7,34,4,*,Less receipt-ECL
,73 RAIL BUDGE BUDGE,500,20,7.3,58,8
,74 RAIL NEW COSSIPORE,160,20,1.3,8,6,*,Less receipt-ECL
,75 RAIL SOUTHERN REPL,135,25,2.3,22,9
,76 RAIL TITAGARH,240,20,3.7,14,4,*,Less receipt
,77 P.H.,FARAKKA STPS($),1600,15,27.6,30,1,*,**,Less receipt-ECL
TOTAL OF THE REGION,17500,18,261,1169,4,15,11
ALL INDIA TOTAL,68950,22,1069.9,6218,6,44,24
($) = NTPC,I.M. = INTER MODAL,P.H. = PITHEAD
(*) Critical i.e. stock < 7 days in,44,TPSs,(Includes super critical also)
(**) Super Critical i.e.stock < 4 days in,24,TPSs




siyaram/8/7/2008,2
,No.CEA/Plg/OM/1/42/2008
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION


,******* DAILY COAL REPORT

COAL STOCK POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY AS ON 7.8.2008
REGION /,SL. MODE NAME OF,CAPACITY NORMATIVE DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER IN MW,STOCK Reqd. AGE IN '000 IN 000,IN COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
NORTHEN REGION
DELHI,1 RAIL I.P. STATION,248,25,3.3,14,4,*,Less receipt-NCL
,2 RAIL RAJGHAT,135,25,2.2,25,12
,3 RAIL BADARPUR($),720,30,12.7,63,5,*,Less receipt -CCL
HARYANA,4 RAIL FARIDABAD EXT,180,25,2.7,55,21
,5 RAIL PANIPAT,1360,25,24.7,117,5,*,Less receipt-CCL BCCL
,6 RAIL YAMUNA NAGAR,600,25,10.0,23,2,*,**,Less receipt -CCL
PUNJAB,7 RAIL GHTP(LEH.MOH.),670,30,12.0,52,4,*,Less receipt -CCL
,8 RAIL GNDTP(BATHINDA),440,30,6.7,62,9
,9 RAIL ROPAR,1260,30,20.0,266,13
RAJASTHAN,10 RAIL KOTA,1045,30,19.7,242,12
,11 RAIL SURATGARH,1250,30,20.3,183,9
U . P.,12 P.H.,ANPARA,1630,15,25.0,34,1,*,**,Less receipt-NCL
,13 RAIL HARDUAGANJ"B",325,25,3.0,25,8
,14 RAIL OBRA,1482,20,13.3,71,5,*,Less receipt-CCL NCL
,15 RAIL PANKI,210,30,3.3,31,9
,16 RAIL PARICHHA,640,30,10.3,143,14
,17 RAIL DADRI(NCPP)($),840,30,13.3,81,6,*,Less receipt -CCL
,18 P.H.,RIHAND STPS($),2000,15,30.0,32,1,*,**,Less receipt-NCL
,19 P.H.,SINGRAULI STPS($),2000,15,30.0,0,0,*,**,Linkage < Demand
,20 RAIL TANDA($),440,25,6.3,3,0,*,**,Less receipt -CCL
,21 RAIL UNCHAHAR($),1050,25,20.0,52,3,*,**,Less receipt-CCL BCCL
TOTAL OF THE REGION,18525,24,288.8,1574,5,12,6
WESTERN REGION
CHHATTISGARH,22 RAIL KORBA EAST V,500,15,9.0,65,7
,23 P.H.,KORBA (East),440,15,8.3,121,15
,24 P.H.,KORBA WEST,840,15,11.7,221,19
,25 P.H.,KORBA STPS($),2100,15,29.0,537,19
,26 P.H.,SIPAT STPS,500,15,7.0,115,16
GUJARAT,27 RAIL GANDHI NAGAR,870,30,12.7,80,6,*,Less receipt-SECL
,28 RAIL SIKKA REP,240,30,3.3,44,13
,29 RAIL UKAI,850,30,10.0,159,16
,30 RAIL WANAKBORI,1470,30,23.3,241,10
,31 RAIL TORR POWER,390,30,5.7,19,3,*,**,Less receipt-SECL
M. P.,32 P.H.,AMARKANTAK,300,15,5.8,68,12
,33 RAIL SANJAY GANDHI,1340,20,21.7,118,5,*,Less receipt-SECL
,34 P.H.,SATPURA,1143,20,21.7,146,7
,35 P.H.,VINDHYACHAL STP(,3260,15,46.7,81,2,*,**,Less receipt-CCL NCL
MAHARASHTRA 36 RAIL BHUSAWAL,475,25,7.3,23,3,*,**,Linkage < Demand
,37 RAIL CHANDRAPUR,2340,20,37.8,195,5,*,Unloading Constraint
,38 RAIL KHAPARKHEDA II,840,20,16.7,67,4,*,Less receipt
,39 RAIL KORADIH,1040,25,16.8,180,11
,40 RAIL NASIK,880,25,13.3,61,5,*,Less receipt
,41 RAIL PARLI,920,25,15.0,101,7
,42 RAIL PARAS,305,20,6.2,100,16
,43 RAIL DAHANU,500,25,10.0,57,6,*,Less receipt-SECL
TOTAL OF THE REGION,21543,21,339.0,2799,8,9,3
siyaram/8/11/2008,1
REGION /,SL. MODE,NAME OF,CAPACITY,NORMATIVE,DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER,IN MW,STOCK Reqd. AGE IN '000,IN 000,IN,COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
SOUTHERN REGION
A. P.,44 RAIL Dr. N. TATA RAO,1260,25,20.0,13,1,*,**,Less receipt-SCCL
,45 RAIL KOTHAGUDEM,1180,20,13.9,43,3,*,**,Linkage < Demand
,46 ROAD RAMAGUNDEM"B",63,20,0.8,29,35
,47 RAIL RAYALASEEMA,840,25,13.3,0,0,*,**,Less receipt
,48 P.H.,RAMAGUNDAM($),2600,15,38.8,7,0,*,**,Linkage < Demand
,49 RAIL SIMHADRI($),1000,25,16.7,43,3,*,**,Less receipt
KARNATAKA,50 RAIL RAICHUR,1470,30,28.3,71,3,*,**,Less receipt
TAMIL NADU,51 I.M.,ENNORE,450,30,7.3,39,5,*,Less receipt- MCL,ECL
,52 I.M.,METTUR,840,30,13.8,125,9
,53 I.M.,NORTH CHENNAI,630,30,10.2,121,12
,54 I.M.,TUTICORIN,1050,30,18.0,130,7
TOTAL OF THE REGION,11383,25,181.2,621,3,7,6
EASTERN REGION
BIHAR,55 RAIL BARAUNI,320,20,1.2,18,15
,56 RAIL MUZAFFARPUR,220,20,1.0,0
,57 P.H.,KAHALGAON($),1840,15,29.4,0,0,*,**,Less receipt-ECL
ORISSA,58 P.H.,IB VALLEY TPS,420,15,8.3,15,2,*,**,Less receipt-MCL Ib
