,Date,Forecast,Actual,Lo80,Hi80,Lo95,Hi95
290,17/10/06,NA,3787.958333,NA,NA,NA,NA
291,18/10/06,NA,3783.708333,NA,NA,NA,NA
292,19/10/06,NA,3785.041667,NA,NA,NA,NA
293,20/10/06,NA,3815.75,NA,NA,NA,NA
294,21/10/06,NA,3446.75,NA,NA,NA,NA
295,22/10/06,NA,3268.291667,NA,NA,NA,NA
296,23/10/06,NA,4114.125,NA,NA,NA,NA
297,24/10/06,NA,4195.333333,NA,NA,NA,NA
298,25/10/06,NA,4215.583333,NA,NA,NA,NA
299,26/10/06,NA,4009.833333,NA,NA,NA,NA
300,27/10/06,NA,3871.666667,NA,NA,NA,NA
301,28/10/06,NA,3436.375,NA,NA,NA,NA
302,29/10/06,NA,3269.583333,NA,NA,NA,NA
303,30/10/06,NA,3708.083333,NA,NA,NA,NA
304,31/10/06,NA,3679.458333,NA,NA,NA,NA
305,1/11/06,NA,3845.833333,NA,NA,NA,NA
306,2/11/06,NA,4174.25,NA,NA,NA,NA
307,3/11/06,NA,4316.083333,NA,NA,NA,NA
308,4/11/06,NA,3834.208333,NA,NA,NA,NA
309,5/11/06,NA,3393.166667,NA,NA,NA,NA
310,6/11/06,NA,3803.416667,NA,NA,NA,NA
311,7/11/06,NA,3804.291667,NA,NA,NA,NA
312,8/11/06,NA,3805.125,NA,NA,NA,NA
313,9/11/06,NA,3828.625,NA,NA,NA,NA
314,10/11/06,NA,3742.208333,NA,NA,NA,NA
315,11/11/06,NA,3425.208333,NA,NA,NA,NA
316,12/11/06,NA,3533.333333,NA,NA,NA,NA
317,13/11/06,NA,4077.625,NA,NA,NA,NA
318,14/11/06,NA,4133.375,NA,NA,NA,NA
319,15/11/06,NA,4077.833333,NA,NA,NA,NA
320,16/11/06,NA,4031.833333,NA,NA,NA,NA
321,17/11/06,NA,4120.166667,NA,NA,NA,NA
322,18/11/06,NA,3653.166667,NA,NA,NA,NA
323,19/11/06,NA,3619.208333,NA,NA,NA,NA
324,20/11/06,NA,4347.416667,NA,NA,NA,NA
325,21/11/06,NA,4465.166667,NA,NA,NA,NA
326,22/11/06,NA,4318.75,NA,NA,NA,NA
327,23/11/06,NA,3478.916667,NA,NA,NA,NA
328,24/11/06,NA,3408.125,NA,NA,NA,NA
329,25/11/06,NA,3328.375,NA,NA,NA,NA
330,26/11/06,NA,3300.75,NA,NA,NA,NA
331,27/11/06,NA,3892.708333,NA,NA,NA,NA
332,28/11/06,NA,3978.375,NA,NA,NA,NA
333,29/11/06,NA,3837.291667,NA,NA,NA,NA
334,30/11/06,NA,3707.833333,NA,NA,NA,NA
